id,granted,sponsor,grant_category,grant_value,date
107,1,40D,30B,10000.0,2005-11-19
108,0,157A,30B,,2005-11-19
109,0,62B,10B,,2005-11-19
110,1,4D,10A,,2005-11-19
111,1,21A,50A,,2005-11-19
112,0,,,,2005-11-19
113,0,40D,10B,,2005-11-19
114,0,143C,30B,,2005-11-19
115,1,4D,10A,,2005-11-19
116,1,2B,10A,,2005-11-19
117,1,4D,10A,,2005-11-19
118,0,9A,10A,,2005-11-19
119,0,,,,2005-11-19
120,0,24D,30B,,2005-11-19
121,0,4D,10A,,2005-11-19
122,1,126B,10A,10000.0,2005-11-19
123,1,4D,10A,100000.0,2005-11-19
124,1,4D,10A,,2005-11-19
125,1,149A,30B,5000.0,2005-11-19
126,0,,,,2005-11-19
127,0,,,5000.0,2005-11-19
128,1,2B,10A,50000.0,2005-11-19
129,0,,,50000.0,2005-11-19
130,0,89A,30B,,2005-11-19
131,0,24D,30B,5000.0,2005-11-19
132,1,2B,10A,200000.0,2005-11-19
133,1,53A,30B,5000.0,2005-11-19
134,0,40D,10B,,2005-11-19
135,1,,,500000.0,2005-11-19
136,0,,,,2005-11-19
137,0,4D,20C,,2005-11-19
138,0,,,,2005-11-19
139,1,47C,10B,5000.0,2005-11-19
140,1,4D,10A,50000.0,2005-11-19
141,0,34B,30C,,2005-11-19
142,0,2B,10A,,2005-11-19
143,0,136D,10A,5000.0,2005-11-19
144,0,94B,10B,,2005-11-19
145,1,4D,10A,,2005-11-19
146,0,34B,30C,5000.0,2005-11-19
147,0,2B,10A,,2005-11-19
148,0,24D,30B,,2005-11-19
149,0,,,,2005-11-19
150,0,97A,30B,5000.0,2005-11-19
151,0,24D,30B,,2005-11-19
152,0,4D,10A,,2005-11-19
153,0,160D,30B,,2005-11-19
154,0,62B,10B,,2005-11-19
155,0,40D,30B,50000.0,2005-11-19
156,1,172D,30B,5000.0,2005-11-19
157,0,40D,10B,20000.0,2005-11-19
158,0,4D,10A,,2005-11-19
159,1,51C,20C,,2005-11-19
160,0,,,,2005-11-19
161,0,,,5000.0,2005-11-19
162,0,24D,30B,,2005-11-19
163,0,4D,10A,,2005-11-19
164,1,4D,10A,,2005-11-19
165,1,4D,10A,,2005-11-19
166,1,167C,30E,,2005-11-19
167,1,1A,10A,,2005-11-19
168,0,34B,30C,5000.0,2005-11-19
169,1,2B,10A,,2005-11-19
170,1,34B,30C,5000.0,2005-11-19
171,1,149A,30B,5000.0,2005-11-19
172,0,135C,30G,,2005-11-19
173,0,65A,30B,,2005-11-19
174,1,4D,10A,100000.0,2005-11-19
175,1,33A,20C,20000.0,2005-11-19
176,1,21A,50A,,2005-11-19
177,0,143C,30B,,2005-11-19
178,1,148D,30B,5000.0,2005-11-19
179,1,51C,10B,,2005-11-19
180,1,36D,10A,,2005-11-19
181,1,40D,30B,5000.0,2005-11-19
182,0,24D,30B,,2005-11-19
183,0,42B,20A,,2005-11-19
184,0,21A,50A,,2005-11-19
185,0,4D,20C,,2005-11-19
186,0,4D,10A,30000.0,2005-11-19
187,1,29A,10B,5000.0,2005-11-19
188,1,34B,30C,5000.0,2005-11-19
189,0,87C,30G,,2005-11-19
190,1,2B,10A,,2005-11-19
191,0,47C,10B,,2005-11-19
192,0,33A,20C,,2005-11-19
193,0,,,10000.0,2005-11-19
194,0,89A,30B,,2005-11-19
195,0,62B,10B,,2005-11-19
196,0,24D,30B,,2005-11-19
197,1,2B,10A,20000.0,2005-11-19
198,0,169A,20C,,2005-11-19
199,0,4D,20C,,2005-11-19
200,0,5A,30B,,2005-11-19
201,0,,,20000.0,2005-11-19
202,1,2B,10A,100000.0,2005-11-19
203,1,95C,30B,5000.0,2005-11-19
204,0,2B,10A,,2005-11-19
205,1,2B,10A,20000.0,2005-11-19
206,0,2B,10A,,2005-11-19
207,1,2B,10A,300000.0,2005-11-19
208,0,103C,30B,,2005-11-19
209,0,147C,20C,,2005-11-19
210,1,133A,30E,,2005-11-19
211,0,62B,10B,,2005-11-19
212,0,4D,10A,,2005-11-19
213,0,24D,30B,,2005-11-19
214,1,18B,20A,100000.0,2005-11-19
215,1,4D,10A,,2005-11-19
216,0,150B,30B,5000.0,2005-11-19
217,0,47C,10B,5000.0,2005-11-19
218,0,60D,30D,,2005-11-19
219,1,6B,30B,5000.0,2005-11-19
220,1,2B,10A,,2005-11-19
221,1,34B,30C,,2005-11-19
222,1,21A,50A,,2005-11-19
223,0,155C,30B,,2005-11-19
224,0,,,,2005-11-19
225,0,2B,10A,,2005-11-19
226,0,174B,30B,,2005-11-19
227,1,29A,10B,5000.0,2005-11-19
228,0,6B,30B,,2005-11-19
229,0,83C,30B,5000.0,2005-11-19
230,0,175C,30G,,2005-11-19
231,1,75C,10B,5000.0,2005-11-19
232,1,4D,10A,50000.0,2005-11-19
233,1,2B,10A,,2005-11-19
234,1,4D,10A,,2005-11-19
235,0,89A,30B,,2005-11-19
236,0,24D,30B,,2005-11-19
237,1,2B,10A,,2005-11-19
238,0,33A,20C,20000.0,2005-11-19
239,0,90B,30D,,2005-11-19
240,0,59C,20C,5000.0,2005-11-19
241,0,75C,10B,,2005-11-19
242,0,4D,10A,,2005-11-19
243,1,4D,10A,,2005-11-19
244,0,24D,30B,,2005-11-19
245,1,47C,10B,,2005-11-19
246,1,2B,10A,200000.0,2005-11-19
247,1,34B,30C,5000.0,2005-11-19
248,0,,,,2005-11-19
249,1,2B,10A,,2005-11-19
250,1,75C,10B,5000.0,2005-11-19
251,0,4D,20C,,2005-11-19
252,1,2B,10A,20000.0,2005-11-19
253,0,,,20000.0,2005-11-19
254,1,2B,10A,,2005-11-19
255,0,33A,20C,,2005-11-19
256,0,24D,30B,,2005-11-19
257,1,4D,10A,,2005-11-19
258,1,4D,10A,,2005-11-19
259,0,,,30000.0,2005-11-19
260,1,40D,30B,5000.0,2005-11-19
261,0,2B,10A,,2005-11-19
262,1,,,5000.0,2005-11-19
263,0,,,,2005-11-19
264,0,2B,10A,,2005-11-19
265,1,1A,10A,,2005-11-19
266,0,4D,20C,,2005-11-19
267,1,34B,30C,5000.0,2005-11-19
268,0,34B,30C,5000.0,2005-11-19
269,0,139C,30G,5000.0,2005-11-19
270,1,4D,10A,,2005-11-19
271,1,21A,50A,,2005-11-19
272,1,4D,10A,,2005-11-19
273,0,33A,10A,,2005-11-19
274,0,2B,10A,10000.0,2005-11-19
275,0,4D,20C,,2005-11-19
276,0,4D,10A,,2005-11-19
277,1,59C,20C,500000.0,2005-11-19
278,0,4D,10A,,2005-11-19
279,0,33A,20C,100000.0,2005-11-19
280,0,18B,20A,,2005-11-19
281,0,4D,10A,30000.0,2005-11-19
282,0,4D,20C,,2005-11-19
283,0,202B,30B,,2005-11-19
284,0,4D,20C,,2005-11-19
285,1,2B,10A,200000.0,2005-11-19
286,0,4D,20C,,2005-11-19
287,1,2B,10A,,2005-11-19
288,0,62B,10B,,2005-11-19
289,0,13A,10A,,2005-11-19
290,1,2B,10A,,2005-11-19
291,1,2B,10A,100000.0,2005-11-19
292,1,34B,30C,5000.0,2005-11-19
293,0,21A,50A,,2005-11-19
294,0,75C,10B,,2005-11-19
295,1,2B,10A,5000.0,2005-11-19
296,0,40D,10B,,2005-11-19
297,0,24D,30B,,2005-11-19
298,1,136D,30B,5000.0,2005-11-19
299,0,33A,10A,,2005-11-19
300,1,2B,10A,30000.0,2005-11-19
301,0,2B,10A,,2005-11-19
302,0,2B,10A,,2005-11-19
303,0,89A,30B,,2005-11-19
304,1,2B,10A,,2005-11-19
305,1,75C,10B,5000.0,2005-11-19
306,1,4D,10A,100000.0,2005-11-19
307,1,34B,30C,,2005-11-19
308,0,24D,30B,5000.0,2005-11-19
309,0,42B,20A,,2005-11-19
310,0,4D,20C,,2005-11-19
311,1,2B,10A,50000.0,2005-11-19
312,1,2B,10A,10000.0,2005-11-19
313,1,2B,10A,,2005-11-19
314,1,2B,10A,200000.0,2005-11-19
315,0,94B,10B,,2005-11-19
316,0,21A,50A,,2005-11-19
317,0,168D,30B,,2005-11-19
318,1,136D,30B,5000.0,2005-11-19
319,0,,,,2005-11-19
320,0,,,,2005-11-19
321,1,21A,50A,,2005-11-19
322,0,113A,10B,,2005-11-19
323,0,13A,10A,5000.0,2005-11-19
324,1,2B,10A,40000.0,2005-11-19
325,1,4D,10A,,2005-11-19
326,0,,,10000.0,2005-11-19
327,1,4D,10A,100000.0,2005-11-19
328,1,4D,10A,,2005-11-19
329,1,34B,30C,,2005-11-19
330,1,2B,10A,,2005-11-19
331,1,4D,10A,50000.0,2005-11-19
332,0,4D,10A,,2005-11-19
333,0,2B,10A,,2005-11-19
334,0,101A,30G,10000.0,2005-11-19
335,0,,,5000.0,2005-11-19
336,1,134B,10B,,2005-11-19
337,1,4D,10A,50000.0,2005-11-19
338,0,,,20000.0,2005-11-19
339,0,36D,10A,,2005-11-19
340,0,59C,20C,30000.0,2005-11-19
341,0,60D,30D,,2005-11-19
342,0,5A,30B,,2005-11-19
343,1,21A,50A,,2005-11-19
344,0,4D,20C,,2005-11-19
345,1,21A,50A,,2005-11-19
346,0,32D,30B,,2005-11-19
347,1,47C,10B,5000.0,2005-11-19
348,0,2B,10A,,2005-11-19
349,0,90B,30D,20000.0,2005-11-19
350,0,24D,30B,,2005-11-19
351,1,63C,20A,10000.0,2005-11-19
352,1,4D,10A,,2005-11-19
353,1,4D,10A,,2005-11-19
354,1,4D,10A,,2005-11-19
355,1,62B,10B,5000.0,2005-11-19
356,1,2B,10A,40000.0,2005-11-19
357,1,4D,10A,50000.0,2005-11-19
358,0,59C,20C,5000.0,2005-11-19
359,1,2B,10A,,2005-11-19
360,0,4D,20C,,2005-11-19
361,1,136D,30B,,2005-11-19
362,0,166B,10A,,2005-11-19
363,1,2B,10A,,2005-11-19
364,0,24D,30B,,2005-11-19
365,1,20D,30B,100000.0,2005-11-19
366,0,33A,20C,10000.0,2005-11-19
367,0,87C,30G,,2005-11-19
368,0,,,,2005-11-19
369,1,4D,10A,,2005-11-19
370,1,40D,30B,10000.0,2005-11-19
371,0,90B,30G,,2005-11-19
372,0,4D,10A,,2005-11-19
373,1,4D,10A,30000.0,2005-11-19
374,0,5A,30B,,2005-11-19
375,0,136D,10A,,2005-11-19
376,0,60D,30D,,2005-11-19
377,1,2B,10A,40000.0,2005-11-19
378,1,40D,10B,20000.0,2005-11-19
379,0,89A,30B,,2005-11-19
380,0,40D,10B,20000.0,2005-11-19
381,0,60D,30D,,2005-11-19
382,0,60D,30D,,2005-11-19
383,0,4D,10A,,2005-11-19
384,0,2B,10A,,2005-11-19
385,0,141A,30B,,2005-11-19
386,1,4D,10A,30000.0,2005-11-19
387,1,2B,10A,,2005-11-19
388,1,2B,10A,,2005-11-19
389,1,4D,10A,,2005-11-19
390,0,80D,10B,,2005-11-19
391,1,2B,10A,,2005-11-19
392,0,59C,10A,,2005-11-19
393,1,4D,10A,,2005-11-19
394,1,4D,10A,,2005-11-19
395,1,2B,10A,100000.0,2005-11-19
396,1,91C,30B,5000.0,2005-11-19
397,0,1A,10B,,2005-11-19
398,0,,,,2005-11-19
399,0,4D,10A,,2005-11-19
400,0,187C,30B,,2005-11-19
401,0,26B,10A,,2005-11-19
402,0,162B,20C,,2005-11-19
403,0,4D,20C,,2005-11-19
404,1,34B,30C,,2005-11-19
405,0,12D,30B,100000.0,2005-11-19
406,1,4D,10A,,2005-11-19
407,0,34B,30C,,2005-11-19
408,0,93A,30C,,2005-11-19
409,0,24D,30B,,2005-11-19
410,0,53A,30B,10000.0,2005-11-19
411,0,4D,20C,,2005-11-19
412,0,4D,20C,,2005-11-19
413,0,95C,30B,,2005-11-19
414,0,6B,30B,,2005-11-19
415,0,84D,30B,,2005-11-19
416,1,2B,10A,30000.0,2005-11-19
417,0,101A,30G,10000.0,2005-11-19
418,0,,,,2005-11-19
419,0,4D,20C,,2005-11-19
420,0,36D,10A,,2005-11-19
421,0,2B,10A,30000.0,2005-11-19
422,0,,,,2005-11-19
423,0,4D,10A,,2005-11-19
424,0,75C,10B,,2005-11-19
425,0,158B,30C,20000.0,2005-11-19
426,0,,,10000.0,2005-11-19
427,1,2B,10A,,2005-11-19
428,0,6B,30B,,2005-11-19
429,0,2B,10A,,2005-11-19
430,0,24D,30B,,2005-11-19
431,1,55C,30B,5000.0,2005-11-19
432,0,20D,10B,,2005-11-19
433,0,138B,30B,,2005-11-19
434,0,135C,30G,,2005-11-19
435,1,47C,10B,,2005-11-19
436,1,21A,50A,5000.0,2005-11-19
437,0,4D,10A,,2005-11-19
438,1,2B,10A,40000.0,2005-11-19
439,1,2B,10A,50000.0,2005-11-19
440,0,141A,30B,,2005-11-19
441,1,2B,10A,40000.0,2005-11-19
442,0,77A,30B,,2005-11-19
443,0,429A,30E,,2005-11-19
444,0,59C,20C,20000.0,2005-11-19
445,0,84D,30B,,2005-11-19
446,0,84D,30B,10000.0,2005-11-19
447,1,4D,20C,100000.0,2005-11-19
448,1,2B,10A,,2005-11-19
449,0,60D,30D,,2005-11-19
450,0,4D,10A,,2005-11-19
451,1,4D,10A,,2005-11-19
452,0,20D,10B,10000.0,2005-11-19
453,0,40D,10B,,2005-11-19
454,1,4D,10A,100000.0,2005-11-19
455,1,2B,10A,,2005-11-19
456,1,28D,30B,5000.0,2005-11-19
457,0,60D,30D,,2005-11-19
458,0,140D,30B,,2005-11-19
459,1,23C,30B,5000.0,2005-11-19
460,1,4D,10A,100000.0,2005-11-19
461,0,142B,30B,,2005-11-19
462,0,4D,20C,,2005-11-19
463,1,112D,30C,,2005-11-19
464,0,40D,10B,20000.0,2005-11-19
465,0,24D,30B,5000.0,2005-11-19
466,0,90B,30G,,2005-11-19
467,1,111C,10A,,2005-11-19
468,1,2B,10A,,2005-11-19
469,1,2B,10A,,2005-11-19
470,0,,,,2005-11-19
471,0,154B,30B,5000.0,2005-11-19
472,1,2B,10A,,2005-11-19
473,0,59C,10A,,2005-11-19
474,0,91C,30B,,2005-11-19
475,0,,,,2005-11-19
476,1,21A,50A,,2005-11-19
477,0,2B,10A,,2005-11-19
478,1,101A,30G,10000.0,2005-11-19
479,0,28D,30B,,2005-11-19
480,1,21A,50A,,2005-11-19
481,1,29A,10B,5000.0,2005-11-19
482,1,2B,10A,,2005-11-19
483,1,4D,10A,100000.0,2005-11-19
484,0,24D,30B,5000.0,2005-11-19
485,1,2B,10A,,2005-11-19
486,0,60D,30D,,2005-11-19
487,1,4D,10A,,2005-11-19
488,0,,,10000.0,2005-11-19
489,1,2B,10A,100000.0,2005-11-19
490,1,34B,30C,,2005-11-19
491,1,59C,10A,,2005-11-19
492,0,24D,30B,,2005-11-19
493,1,4D,10A,,2005-11-19
494,1,2B,10A,,2005-11-19
495,0,40D,30B,,2005-11-19
496,0,5A,30B,5000.0,2005-11-19
497,0,24D,30B,,2005-11-19
498,1,4D,10A,,2005-11-19
499,0,101A,30G,,2005-11-19
500,1,4D,10A,,2005-11-19
501,1,2B,10A,,2005-11-19
502,1,77A,30B,5000.0,2005-11-19
503,0,185A,30E,,2005-11-19
504,0,151C,20A,,2005-11-19
505,0,2B,10A,,2005-11-19
506,1,4D,10A,,2005-11-19
507,0,,,,2005-11-19
508,1,2B,10A,10000.0,2005-11-19
509,0,20D,30B,100000.0,2005-11-19
510,1,55C,30B,5000.0,2005-11-19
511,1,2B,10A,,2005-11-19
512,1,1A,10A,,2005-11-19
513,1,2B,10A,,2005-11-19
514,0,75C,10B,,2005-11-19
515,1,75C,10B,5000.0,2005-11-19
516,0,33A,10A,30000.0,2005-11-19
517,0,4D,20C,,2005-11-19
518,0,3C,10A,,2005-11-19
519,0,6B,30B,,2005-11-19
520,0,4D,20C,,2005-11-19
521,1,2B,10A,30000.0,2005-11-19
522,0,428D,30B,,2005-11-19
523,0,89A,30B,,2005-11-19
524,0,137A,20C,,2005-11-19
525,1,149A,30B,10000.0,2005-11-19
526,1,2B,10A,40000.0,2005-11-19
527,1,2B,10A,,2005-11-19
528,0,158B,30C,,2005-11-19
529,1,37A,30B,,2005-11-19
530,1,133A,30E,,2005-11-19
531,0,34B,30C,5000.0,2005-11-19
532,0,24D,30B,,2005-11-19
533,0,34B,30C,5000.0,2005-11-19
534,1,4D,10A,,2005-11-19
535,0,77A,30B,5000.0,2005-11-19
536,0,133A,30E,,2005-11-19
537,0,4D,20C,,2005-11-19
538,0,4D,10A,,2005-11-19
539,0,,,,2005-11-19
540,1,2B,10A,50000.0,2005-11-19
541,1,40D,10B,20000.0,2005-11-19
542,1,2B,10A,,2005-11-19
543,1,4D,10A,100000.0,2005-11-19
544,1,40D,30B,5000.0,2005-11-19
545,0,146B,30G,5000.0,2005-11-19
546,1,51C,10B,,2005-11-19
547,0,4D,10A,,2005-11-19
548,0,168D,30B,,2005-11-19
549,0,59C,20C,10000.0,2005-11-19
550,1,4D,10A,,2005-11-19
551,0,24D,30B,,2005-11-19
552,1,4D,10A,30000.0,2005-11-19
553,1,21A,50A,5000.0,2005-11-19
554,0,170B,30B,20000.0,2005-11-19
555,0,60D,30D,40000.0,2005-11-19
556,0,28D,30B,5000.0,2005-11-19
557,0,2B,10A,,2005-11-19
558,0,12D,30B,,2005-11-19
559,1,2B,10A,100000.0,2005-11-19
560,0,,,5000.0,2005-11-19
561,0,60D,30D,,2005-11-19
562,1,4D,10A,30000.0,2005-11-19
563,0,4D,10A,,2005-11-19
564,1,2B,10A,10000000.0,2005-11-19
565,1,2B,10A,,2005-11-19
566,1,2B,10A,30000.0,2005-11-19
567,1,4D,10A,50000.0,2005-11-19
568,1,,,,2005-11-19
569,1,2B,10A,50000.0,2005-11-19
570,0,138B,30B,5000.0,2005-11-19
571,1,63C,20A,,2005-11-19
572,0,,,,2005-11-19
573,0,60D,30D,100000.0,2005-11-19
574,1,2B,10A,,2005-11-19
575,0,24D,30B,,2005-11-19
576,0,18B,20A,,2005-11-19
577,1,2B,10A,10000.0,2005-11-19
578,0,139C,30G,,2005-11-19
579,1,4D,10A,40000.0,2005-11-19
580,0,40D,30B,,2005-11-19
581,0,176D,30G,,2005-11-19
582,1,2B,10A,30000.0,2005-11-19
583,0,,,,2005-11-19
584,0,59C,20C,5000.0,2005-11-19
585,0,20D,30B,,2005-11-19
586,0,59C,20C,30000.0,2005-11-19
587,0,,,5000.0,2005-11-19
588,1,4D,20C,200000.0,2005-11-19
589,0,26B,10A,,2005-11-19
590,0,2B,10A,,2005-11-19
591,0,103C,30B,10000.0,2005-11-19
592,1,75C,10B,5000.0,2005-11-19
593,0,166B,10A,,2005-11-19
594,0,133A,30D,,2005-11-19
595,0,89A,30B,5000.0,2005-11-19
596,0,174B,30B,,2005-11-19
597,0,4D,10A,,2005-11-19
598,1,4D,10A,,2005-11-19
599,0,4D,10A,,2005-11-19
600,0,40D,10B,,2005-11-19
601,1,40D,30B,5000.0,2005-11-19
602,0,4D,10A,,2005-11-19
603,1,2B,10A,,2005-11-19
604,1,4D,10A,,2005-11-19
605,0,34B,30C,,2005-11-19
606,1,2B,10A,10000.0,2005-11-19
607,0,145A,30B,,2005-11-19
608,0,24D,30B,5000.0,2005-11-19
609,1,2B,10A,,2005-11-19
610,1,4D,10A,,2005-11-19
611,0,5A,30B,,2005-11-19
612,0,32D,30B,,2005-11-19
613,0,60D,30D,,2005-11-19
614,1,4D,10A,,2005-11-19
615,0,4D,10A,,2005-11-19
616,0,2B,10A,,2005-11-19
617,1,4D,10A,,2005-11-19
618,1,2B,10A,,2005-11-19
619,1,2B,10A,10000.0,2005-11-19
620,1,4D,10A,50000.0,2005-11-19
621,1,4D,10A,,2005-11-19
622,0,59C,20C,30000.0,2005-11-19
623,1,4D,20C,5000.0,2005-11-19
624,0,,,,2005-11-19
625,0,34B,30C,,2005-11-19
626,0,2B,10A,,2005-11-19
627,0,33A,10A,20000.0,2005-11-19
628,0,4D,10A,,2005-11-19
629,1,21A,50A,,2005-11-19
630,0,4D,10A,,2005-11-19
631,0,77A,30B,5000.0,2005-11-19
632,0,103C,30B,,2005-11-19
633,0,59C,20C,,2005-11-19
634,1,2B,10A,30000.0,2005-11-19
635,1,4D,10A,50000.0,2005-11-19
636,0,85A,20A,,2005-11-19
637,1,4D,10A,,2005-11-19
638,0,89A,30B,,2005-11-19
639,1,4D,10A,100000.0,2005-11-19
640,0,,,20000.0,2005-11-19
641,0,97A,30B,5000.0,2005-11-19
642,0,12D,30B,,2005-11-19
643,1,28D,30B,5000.0,2005-11-19
644,1,63C,20A,,2005-11-19
645,1,2B,10A,20000.0,2005-11-19
646,0,24D,30B,,2005-11-19
647,0,4D,10A,,2005-11-19
648,0,137A,20C,,2005-11-19
649,0,85A,20A,40000.0,2005-11-19
650,1,21A,50A,,2005-11-19
651,0,60D,30D,,2005-11-19
652,0,4D,10A,,2005-11-19
653,1,2B,10A,20000.0,2005-11-19
654,1,75C,10B,5000.0,2005-11-19
655,0,77A,30B,5000.0,2005-11-19
656,0,83C,30B,,2005-11-19
657,0,89A,30B,,2005-11-19
658,1,4D,10A,,2005-11-19
659,0,,,,2005-11-19
660,0,14B,10A,,2005-11-19
661,0,89A,30B,,2005-11-19
662,1,34B,30C,5000.0,2005-11-19
663,1,4D,10A,,2005-11-19
664,1,4D,10A,100000.0,2005-11-19
665,0,4D,10A,,2005-11-19
666,1,40D,30B,5000.0,2005-11-19
667,1,34B,30C,,2005-11-19
668,0,2B,10A,,2005-11-19
669,1,69A,30B,5000.0,2005-11-19
670,1,21A,50A,,2005-11-19
671,0,89A,30B,,2005-11-19
672,1,34B,30C,,2005-11-19
673,0,24D,30B,,2005-11-19
674,0,4D,10A,,2005-11-19
675,1,4D,10A,,2005-11-19
676,0,41A,30B,,2005-11-19
677,0,103C,30B,,2005-11-19
678,0,59C,20C,50000.0,2005-11-19
679,1,4D,10A,100000.0,2005-11-19
680,0,2B,10A,,2005-11-19
681,0,4D,10A,,2005-11-19
682,0,60D,30D,,2005-11-19
683,1,40D,30B,5000.0,2005-11-19
684,0,47C,10B,,2005-11-19
685,0,,,20000.0,2005-11-19
686,0,427C,10A,,2005-11-19
687,1,,,5000.0,2005-11-19
688,0,40D,10B,20000.0,2005-11-19
689,0,4D,10A,,2005-11-19
690,1,4D,10A,100000.0,2005-11-19
691,1,4D,10A,,2005-11-19
692,0,6B,30B,,2005-11-19
693,1,4D,10A,,2005-11-19
694,0,101A,30G,,2005-11-19
695,1,36D,10A,,2005-11-19
696,0,4D,20C,,2005-11-19
697,0,,,,2005-11-19
698,1,,,5000.0,2005-11-19
699,1,4D,10A,,2005-11-19
700,0,2B,10A,,2005-11-19
701,1,49A,30B,5000.0,2005-11-19
702,0,4D,10A,,2005-11-19
703,1,4D,10A,,2005-11-19
704,0,60D,30D,,2005-11-19
705,0,36D,10A,,2005-11-19
706,1,2B,10A,20000.0,2005-11-19
707,1,2B,10A,10000.0,2005-11-19
708,1,36D,10A,,2005-11-19
709,0,,,20000.0,2005-11-19
710,0,7C,10A,,2005-11-19
711,0,5A,30B,,2005-11-19
712,1,4D,10A,50000.0,2005-11-19
713,0,4D,20C,,2005-11-19
714,0,83C,30B,,2005-11-19
715,0,141A,30B,5000.0,2005-11-19
716,0,59C,10A,5000.0,2005-11-19
717,0,20D,10B,10000.0,2005-11-19
718,0,59C,20C,5000.0,2005-11-19
719,0,4D,20C,,2005-11-19
720,1,47C,10B,5000.0,2005-11-19
721,0,33A,20C,30000.0,2005-11-19
722,0,33A,20C,,2005-11-19
723,0,24D,30B,,2005-11-19
724,1,2B,10A,,2005-11-19
725,1,4D,10A,,2005-11-19
726,0,,,,2005-11-19
727,0,83C,30B,5000.0,2005-11-19
728,1,2B,10A,200000.0,2005-11-19
729,0,60D,30D,,2005-11-19
730,1,4D,10A,,2005-11-19
731,0,24D,30B,,2005-11-19
