,date,Person.ID,Faculty.No.,Dept.No.,With.PHD,years_in_uni,Number.of.Successful.Grant,Number.of.Unsuccessful.Grant,A.,A,B,C
118,2005-11-19,8772,25.0,2763.0,,0.0,3.0,2.0,3.0,6.0,3.0,1.0
119,2005-11-19,73017,19.0,2103.0,1.0,3.0,0.0,2.0,4.0,1.0,3.0,3.0
120,2005-11-19,125287,19.0,2103.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
121,2005-11-19,497907,25.0,2578.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
122,2005-11-19,1687,25.0,2603.0,1.0,3.0,1.0,0.0,7.0,10.0,3.0,1.0
123,2005-11-19,53202,31.0,3048.0,1.0,1.0,0.0,1.0,8.0,2.0,1.0,1.0
124,2005-11-19,132232,25.0,2523.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
125,2005-11-19,6242,25.0,2548.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
126,2005-11-19,28682,7.0,828.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
127,2005-11-19,67622,7.0,803.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
128,2005-11-19,115417,19.0,2253.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0
129,2005-11-19,19362,25.0,2893.0,,1.0,0.0,1.0,0.0,2.0,3.0,0.0
130,2005-11-19,73737,7.0,828.0,,0.0,0.0,0.0,0.0,3.0,3.0,1.0
131,2005-11-19,66957,25.0,2558.0,1.0,4.0,1.0,0.0,0.0,2.0,5.0,1.0
132,2005-11-19,80677,7.0,828.0,,0.0,1.0,0.0,1.0,1.0,2.0,0.0
133,2005-11-19,69952,13.0,1578.0,1.0,3.0,0.0,0.0,2.0,8.0,6.0,0.0
134,2005-11-19,5302,13.0,1578.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
135,2005-11-19,34347,13.0,1578.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0
136,2005-11-19,85862,25.0,2728.0,,1.0,1.0,0.0,0.0,3.0,4.0,2.0
137,2005-11-19,74932,25.0,2668.0,1.0,3.0,0.0,0.0,2.0,3.0,6.0,0.0
138,2005-11-19,26857,1.0,1033.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
139,2005-11-19,79427,25.0,2498.0,,0.0,0.0,1.0,1.0,1.0,1.0,3.0
140,2005-11-19,130967,25.0,2538.0,,0.0,1.0,3.0,0.0,0.0,0.0,0.0
141,2005-11-19,89627,25.0,2653.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
142,2005-11-19,730092,25.0,2653.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0
143,2005-11-19,7947,31.0,3048.0,1.0,2.0,0.0,0.0,9.0,4.0,2.0,2.0
144,2005-11-19,70272,19.0,2053.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
145,2005-11-19,38697,25.0,2778.0,,,0.0,1.0,3.0,3.0,0.0,0.0
146,2005-11-19,34737,25.0,2603.0,1.0,0.0,1.0,5.0,1.0,6.0,6.0,1.0
147,2005-11-19,27757,25.0,2813.0,,2.0,2.0,0.0,8.0,5.0,4.0,0.0
148,2005-11-19,78342,25.0,2653.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
149,2005-11-19,17512,,,,,0.0,0.0,0.0,0.0,0.0,0.0
150,2005-11-19,74567,25.0,2813.0,,2.0,1.0,0.0,2.0,14.0,21.0,6.0
151,2005-11-19,712,13.0,1678.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0
152,2005-11-19,23697,13.0,1678.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
153,2005-11-19,64162,13.0,1578.0,1.0,4.0,1.0,0.0,0.0,6.0,3.0,1.0
154,2005-11-19,726602,25.0,2523.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
155,2005-11-19,80187,31.0,3123.0,,0.0,0.0,1.0,2.0,6.0,9.0,2.0
156,2005-11-19,84627,25.0,2973.0,1.0,1.0,0.0,1.0,8.0,5.0,0.0,3.0
157,2005-11-19,72222,25.0,2973.0,,3.0,0.0,1.0,0.0,0.0,0.0,0.0
158,2005-11-19,118747,25.0,2713.0,,1.0,0.0,2.0,0.0,0.0,0.0,0.0
159,2005-11-19,80377,31.0,3258.0,1.0,4.0,3.0,1.0,4.0,4.0,6.0,1.0
160,2005-11-19,64782,,,,,0.0,0.0,0.0,0.0,0.0,0.0
161,2005-11-19,18377,25.0,2923.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,0.0
162,2005-11-19,147722,25.0,2923.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0
163,2005-11-19,57672,,,,,0.0,0.0,0.0,0.0,0.0,0.0
164,2005-11-19,148087,25.0,2653.0,,1.0,0.0,2.0,2.0,1.0,0.0,0.0
165,2005-11-19,48892,31.0,3028.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
166,2005-11-19,67282,25.0,2578.0,1.0,2.0,0.0,2.0,4.0,3.0,4.0,3.0
167,2005-11-19,19287,25.0,2578.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
168,2005-11-19,77112,25.0,2763.0,1.0,1.0,1.0,1.0,12.0,10.0,5.0,0.0
169,2005-11-19,77162,25.0,2603.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0
170,2005-11-19,22792,4.0,3508.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0
171,2005-11-19,612,31.0,3123.0,1.0,3.0,0.0,1.0,7.0,1.0,2.0,0.0
172,2005-11-19,723252,25.0,2603.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
173,2005-11-19,78752,25.0,2713.0,1.0,3.0,1.0,1.0,6.0,5.0,2.0,0.0
174,2005-11-19,26107,25.0,2558.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,0.0
175,2005-11-19,82547,25.0,2713.0,,4.0,1.0,0.0,0.0,0.0,0.0,0.0
176,2005-11-19,492057,31.0,3048.0,1.0,1.0,1.0,2.0,0.0,0.0,12.0,4.0
177,2005-11-19,80502,25.0,2578.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0
178,2005-11-19,5232,25.0,2578.0,1.0,3.0,2.0,0.0,5.0,3.0,3.0,3.0
179,2005-11-19,68817,25.0,2713.0,1.0,3.0,0.0,2.0,3.0,10.0,4.0,1.0
180,2005-11-19,68512,,,,,0.0,0.0,0.0,0.0,0.0,0.0
181,2005-11-19,64277,25.0,2973.0,1.0,3.0,0.0,0.0,17.0,9.0,2.0,4.0
182,2005-11-19,783297,25.0,2538.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
183,2005-11-19,16332,,,,,0.0,0.0,0.0,0.0,2.0,0.0
184,2005-11-19,19922,25.0,2578.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
185,2005-11-19,393152,46.0,2298.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
186,2005-11-19,65712,25.0,2523.0,,4.0,0.0,1.0,0.0,2.0,4.0,2.0
187,2005-11-19,40947,25.0,2653.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0
188,2005-11-19,93802,25.0,2563.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.0
189,2005-11-19,159607,25.0,2553.0,1.0,1.0,0.0,2.0,0.0,5.0,5.0,5.0
190,2005-11-19,6712,25.0,2563.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0
191,2005-11-19,34177,25.0,2523.0,,1.0,0.0,2.0,2.0,1.0,0.0,10.0
192,2005-11-19,624752,,,,,0.0,1.0,1.0,1.0,1.0,0.0
193,2005-11-19,107667,25.0,2778.0,,1.0,1.0,0.0,1.0,2.0,1.0,0.0
194,2005-11-19,86302,25.0,2763.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0
195,2005-11-19,66322,25.0,2763.0,,3.0,0.0,0.0,14.0,3.0,2.0,0.0
196,2005-11-19,500137,31.0,3198.0,,,1.0,0.0,2.0,0.0,0.0,0.0
197,2005-11-19,2022,25.0,2668.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
198,2005-11-19,122392,25.0,2813.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0
199,2005-11-19,30772,25.0,2603.0,,1.0,0.0,0.0,3.0,2.0,0.0,0.0
200,2005-11-19,98222,25.0,2653.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0
201,2005-11-19,63962,34.0,1258.0,1.0,4.0,2.0,0.0,1.0,16.0,7.0,3.0
202,2005-11-19,145057,7.0,593.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
203,2005-11-19,46377,25.0,2763.0,,,0.0,1.0,2.0,1.0,0.0,0.0
204,2005-11-19,15162,31.0,3048.0,1.0,1.0,0.0,0.0,22.0,2.0,2.0,1.0
205,2005-11-19,79977,31.0,3048.0,,4.0,1.0,0.0,0.0,0.0,0.0,0.0
206,2005-11-19,4702,1.0,1033.0,1.0,2.0,0.0,1.0,8.0,7.0,6.0,0.0
207,2005-11-19,43352,25.0,2923.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
208,2005-11-19,89472,31.0,3048.0,1.0,1.0,1.0,1.0,15.0,1.0,3.0,0.0
209,2005-11-19,72317,25.0,2678.0,1.0,3.0,1.0,0.0,7.0,4.0,4.0,0.0
210,2005-11-19,917,31.0,3123.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0
211,2005-11-19,71442,1.0,1098.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0
212,2005-11-19,67412,7.0,548.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0
213,2005-11-19,4302,31.0,3198.0,1.0,3.0,1.0,1.0,2.0,7.0,6.0,3.0
214,2005-11-19,107262,31.0,3198.0,,,0.0,0.0,0.0,0.0,0.0,0.0
215,2005-11-19,500157,31.0,3258.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0
216,2005-11-19,69212,25.0,2778.0,,4.0,0.0,1.0,0.0,1.0,4.0,0.0
217,2005-11-19,17622,25.0,2568.0,,,0.0,2.0,4.0,14.0,10.0,5.0
218,2005-11-19,28442,25.0,2568.0,,,0.0,1.0,0.0,0.0,0.0,0.0
219,2005-11-19,95772,,,,,0.0,0.0,0.0,0.0,1.0,1.0
220,2005-11-19,77887,31.0,3073.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
221,2005-11-19,20122,25.0,2523.0,1.0,1.0,0.0,1.0,0.0,7.0,2.0,1.0
222,2005-11-19,113942,4.0,3508.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
223,2005-11-19,127112,,,,,0.0,0.0,0.0,0.0,0.0,0.0
224,2005-11-19,65652,25.0,,,3.0,0.0,0.0,13.0,2.0,0.0,1.0
225,2005-11-19,68472,1.0,1033.0,,0.0,0.0,1.0,0.0,7.0,7.0,0.0
226,2005-11-19,28342,19.0,2153.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0
227,2005-11-19,77327,7.0,653.0,,0.0,0.0,1.0,0.0,6.0,0.0,0.0
228,2005-11-19,74142,19.0,2103.0,1.0,2.0,0.0,3.0,1.0,0.0,4.0,0.0
229,2005-11-19,11342,25.0,2558.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
230,2005-11-19,25342,25.0,2768.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
231,2005-11-19,55437,25.0,2668.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0
232,2005-11-19,79562,25.0,2883.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,12.0
233,2005-11-19,46697,7.0,498.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
234,2005-11-19,84622,25.0,2973.0,,1.0,0.0,3.0,8.0,6.0,1.0,2.0
235,2005-11-19,36252,25.0,2973.0,1.0,1.0,0.0,4.0,2.0,13.0,5.0,16.0
236,2005-11-19,17342,25.0,2828.0,1.0,1.0,0.0,7.0,2.0,13.0,13.0,3.0
237,2005-11-19,26887,22.0,3658.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0,1.0
238,2005-11-19,8667,22.0,3658.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0
239,2005-11-19,99052,31.0,3273.0,1.0,1.0,1.0,0.0,7.0,1.0,2.0,0.0
240,2005-11-19,67182,10.0,3708.0,,0.0,0.0,1.0,0.0,2.0,2.0,1.0
241,2005-11-19,135457,31.0,3198.0,,0.0,0.0,0.0,0.0,0.0,9.0,1.0
242,2005-11-19,141572,,,,,0.0,0.0,0.0,0.0,0.0,0.0
243,2005-11-19,80232,31.0,3198.0,1.0,4.0,0.0,0.0,5.0,6.0,28.0,3.0
244,2005-11-19,72267,19.0,1998.0,1.0,3.0,3.0,0.0,5.0,10.0,11.0,5.0
245,2005-11-19,98212,25.0,2653.0,,4.0,1.0,1.0,9.0,7.0,3.0,0.0
246,2005-11-19,44022,4.0,3508.0,,,1.0,3.0,0.0,0.0,2.0,0.0
247,2005-11-19,69657,7.0,828.0,1.0,4.0,2.0,3.0,0.0,2.0,9.0,3.0
248,2005-11-19,67932,,,,,0.0,0.0,6.0,10.0,7.0,6.0
249,2005-11-19,70947,25.0,2653.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0
250,2005-11-19,15287,25.0,2523.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,0.0
251,2005-11-19,79217,25.0,2828.0,,0.0,1.0,1.0,3.0,1.0,0.0,0.0
252,2005-11-19,813567,25.0,2533.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
253,2005-11-19,145857,25.0,2678.0,,0.0,1.0,0.0,1.0,3.0,1.0,1.0
254,2005-11-19,43597,7.0,803.0,,0.0,0.0,1.0,5.0,13.0,5.0,4.0
255,2005-11-19,24017,25.0,2603.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,0.0
256,2005-11-19,77977,25.0,2523.0,,0.0,0.0,0.0,0.0,9.0,1.0,0.0
257,2005-11-19,17877,,,,,0.0,0.0,0.0,0.0,0.0,0.0
258,2005-11-19,66922,25.0,2523.0,1.0,2.0,0.0,0.0,4.0,6.0,3.0,0.0
259,2005-11-19,9757,25.0,2668.0,1.0,2.0,0.0,0.0,8.0,5.0,2.0,1.0
260,2005-11-19,34417,13.0,1578.0,1.0,1.0,0.0,0.0,5.0,6.0,1.0,0.0
261,2005-11-19,32907,13.0,1678.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
262,2005-11-19,146697,13.0,1678.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,6.0
263,2005-11-19,67317,13.0,1578.0,,4.0,0.0,0.0,0.0,10.0,19.0,0.0
264,2005-11-19,14757,19.0,2053.0,,0.0,0.0,0.0,3.0,3.0,2.0,1.0
265,2005-11-19,57272,19.0,2053.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
266,2005-11-19,6562,19.0,2053.0,,0.0,0.0,0.0,26.0,7.0,11.0,4.0
267,2005-11-19,79747,31.0,3028.0,,0.0,0.0,1.0,0.0,3.0,8.0,4.0
268,2005-11-19,74372,25.0,2893.0,,1.0,0.0,0.0,5.0,17.0,7.0,2.0
269,2005-11-19,46132,25.0,2893.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,0.0
270,2005-11-19,99617,,,,,0.0,0.0,0.0,0.0,0.0,0.0
271,2005-11-19,68377,25.0,2893.0,1.0,4.0,0.0,0.0,7.0,8.0,2.0,4.0
