,Grant.Application.ID,SEO.Code,variable,value
104,66,700399.0,SEO.Percentage.3,30.0
105,68,730213.0,SEO.Percentage.1,100.0
106,69,730101.0,SEO.Percentage.1,80.0
107,69,780105.0,SEO.Percentage.2,20.0
108,70,780103.0,SEO.Percentage.1,100.0
109,71,730110.0,SEO.Percentage.2,50.0
110,71,730213.0,SEO.Percentage.1,50.0
111,72,750699.0,SEO.Percentage.1,60.0
112,72,760101.0,SEO.Percentage.2,20.0
113,72,660403.0,SEO.Percentage.3,20.0
114,73,730105.0,SEO.Percentage.1,100.0
115,74,730106.0,SEO.Percentage.1,100.0
116,75,770502.0,SEO.Percentage.1,100.0
117,76,730108.0,SEO.Percentage.1,100.0
118,77,730218.0,SEO.Percentage.2,20.0
119,77,730219.0,SEO.Percentage.3,20.0
120,77,730207.0,SEO.Percentage.1,60.0
121,78,730211.0,SEO.Percentage.1,100.0
122,79,730204.0,SEO.Percentage.1,100.0
123,80,770101.0,SEO.Percentage.1,100.0
124,81,730207.0,SEO.Percentage.2,40.0
125,81,730105.0,SEO.Percentage.1,60.0
126,82,730107.0,SEO.Percentage.2,30.0
127,82,730213.0,SEO.Percentage.3,30.0
128,82,730108.0,SEO.Percentage.1,40.0
129,83,730101.0,SEO.Percentage.1,75.0
130,83,730212.0,SEO.Percentage.2,25.0
131,84,730217.0,SEO.Percentage.2,30.0
132,84,730306.0,SEO.Percentage.3,25.0
133,84,730211.0,SEO.Percentage.1,45.0
134,85,670105.0,SEO.Percentage.1,60.0
135,85,670499.0,SEO.Percentage.2,10.0
136,85,730113.0,SEO.Percentage.3,30.0
137,86,750101.0,SEO.Percentage.1,40.0
138,86,740401.0,SEO.Percentage.2,40.0
139,86,750305.0,SEO.Percentage.3,20.0
140,87,620502.0,SEO.Percentage.2,30.0
141,87,750704.0,SEO.Percentage.1,70.0
142,88,620399.0,SEO.Percentage.3,10.0
143,88,620303.0,SEO.Percentage.2,30.0
144,88,780105.0,SEO.Percentage.1,60.0
145,89,730104.0,SEO.Percentage.2,40.0
146,89,730113.0,SEO.Percentage.1,60.0
147,91,730102.0,SEO.Percentage.1,100.0
148,92,730301.0,SEO.Percentage.3,40.0
149,92,730219.0,SEO.Percentage.2,35.0
150,92,730207.0,SEO.Percentage.1,25.0
151,93,680402.0,SEO.Percentage.3,20.0
152,93,680302.0,SEO.Percentage.2,30.0
153,93,680202.0,SEO.Percentage.1,50.0
154,94,770502.0,SEO.Percentage.1,100.0
155,95,730108.0,SEO.Percentage.1,100.0
156,96,670403.0,SEO.Percentage.2,50.0
157,96,730101.0,SEO.Percentage.1,50.0
158,97,730201.0,SEO.Percentage.1,100.0
159,98,730217.0,SEO.Percentage.1,100.0
160,99,750602.0,SEO.Percentage.1,60.0
161,99,751004.0,SEO.Percentage.2,40.0
162,100,780108.0,SEO.Percentage.2,50.0
163,100,780107.0,SEO.Percentage.1,50.0
164,101,700103.0,SEO.Percentage.1,100.0
165,102,730116.0,SEO.Percentage.1,100.0
166,103,750503.0,SEO.Percentage.1,80.0
167,103,730219.0,SEO.Percentage.2,20.0
168,104,730214.0,SEO.Percentage.1,100.0
169,105,710401.0,SEO.Percentage.1,100.0
170,106,730108.0,SEO.Percentage.1,100.0
171,107,730199.0,SEO.Percentage.1,100.0
172,108,770503.0,SEO.Percentage.1,100.0
173,109,730104.0,SEO.Percentage.1,80.0
174,109,730211.0,SEO.Percentage.2,20.0
175,110,730108.0,SEO.Percentage.1,100.0
176,111,670106.0,SEO.Percentage.2,50.0
177,111,670105.0,SEO.Percentage.1,50.0
178,112,730108.0,SEO.Percentage.1,100.0
179,113,730105.0,SEO.Percentage.1,50.0
180,113,730106.0,SEO.Percentage.2,50.0
181,114,780105.0,SEO.Percentage.1,100.0
182,115,730108.0,SEO.Percentage.1,100.0
183,116,720299.0,SEO.Percentage.1,100.0
184,117,730213.0,SEO.Percentage.4,10.0
185,117,730307.0,SEO.Percentage.3,10.0
186,117,730101.0,SEO.Percentage.5,10.0
187,117,730212.0,SEO.Percentage.2,30.0
188,117,730299.0,SEO.Percentage.1,40.0
189,118,780104.0,SEO.Percentage.1,100.0
190,119,730114.0,SEO.Percentage.1,50.0
191,119,730203.0,SEO.Percentage.2,50.0
192,120,780105.0,SEO.Percentage.1,100.0
193,121,730105.0,SEO.Percentage.1,100.0
194,122,620204.0,SEO.Percentage.1,100.0
195,123,730101.0,SEO.Percentage.1,50.0
196,123,730118.0,SEO.Percentage.2,50.0
197,124,730107.0,SEO.Percentage.3,20.0
198,124,780105.0,SEO.Percentage.1,50.0
199,124,730104.0,SEO.Percentage.2,20.0
200,124,730215.0,SEO.Percentage.4,10.0
201,125,730219.0,SEO.Percentage.1,100.0
202,126,730108.0,SEO.Percentage.1,100.0
203,128,730111.0,SEO.Percentage.1,50.0
204,128,730104.0,SEO.Percentage.2,50.0
205,129,730204.0,SEO.Percentage.3,20.0
206,129,730101.0,SEO.Percentage.1,40.0
207,129,730116.0,SEO.Percentage.2,40.0
208,130,730102.0,SEO.Percentage.1,100.0
209,131,680299.0,SEO.Percentage.1,100.0
210,132,760101.0,SEO.Percentage.3,20.0
211,132,770101.0,SEO.Percentage.1,60.0
212,132,770102.0,SEO.Percentage.2,20.0
213,133,780105.0,SEO.Percentage.1,100.0
214,134,730106.0,SEO.Percentage.1,50.0
215,134,730105.0,SEO.Percentage.2,50.0
216,135,690499.0,SEO.Percentage.1,60.0
217,135,750605.0,SEO.Percentage.2,40.0
218,136,730108.0,SEO.Percentage.1,100.0
219,137,730306.0,SEO.Percentage.3,20.0
220,137,730213.0,SEO.Percentage.1,60.0
221,137,730217.0,SEO.Percentage.2,20.0
222,138,680503.0,SEO.Percentage.1,100.0
223,139,780103.0,SEO.Percentage.1,100.0
224,140,730104.0,SEO.Percentage.1,50.0
225,140,730113.0,SEO.Percentage.2,50.0
226,142,780103.0,SEO.Percentage.2,30.0
227,142,780105.0,SEO.Percentage.1,30.0
228,142,670403.0,SEO.Percentage.3,40.0
229,143,730116.0,SEO.Percentage.3,20.0
230,143,730106.0,SEO.Percentage.1,30.0
231,143,730115.0,SEO.Percentage.2,50.0
232,144,730114.0,SEO.Percentage.1,50.0
233,144,730203.0,SEO.Percentage.2,50.0
234,145,730104.0,SEO.Percentage.1,50.0
235,145,730200.0,SEO.Percentage.2,50.0
236,146,730113.0,SEO.Percentage.1,100.0
237,147,740301.0,SEO.Percentage.3,20.0
238,147,749906.0,SEO.Percentage.1,60.0
239,147,740401.0,SEO.Percentage.2,20.0
240,148,750311.0,SEO.Percentage.3,30.0
241,148,730211.0,SEO.Percentage.1,40.0
242,148,730207.0,SEO.Percentage.2,30.0
243,149,730104.0,SEO.Percentage.1,100.0
244,150,730399.0,SEO.Percentage.1,80.0
245,150,730104.0,SEO.Percentage.2,20.0
246,153,730113.0,SEO.Percentage.2,25.0
247,153,730110.0,SEO.Percentage.1,50.0
248,153,730303.0,SEO.Percentage.3,25.0
249,154,730208.0,SEO.Percentage.1,100.0
250,156,730113.0,SEO.Percentage.2,20.0
251,156,730108.0,SEO.Percentage.1,80.0
252,157,730108.0,SEO.Percentage.1,50.0
253,157,730114.0,SEO.Percentage.2,50.0
254,158,730101.0,SEO.Percentage.1,90.0
255,158,730107.0,SEO.Percentage.2,10.0
256,159,780102.0,SEO.Percentage.2,30.0
257,159,671401.0,SEO.Percentage.1,60.0
258,159,730103.0,SEO.Percentage.3,10.0
259,160,730204.0,SEO.Percentage.1,40.0
260,160,730215.0,SEO.Percentage.2,30.0
261,160,730105.0,SEO.Percentage.3,30.0
262,161,780105.0,SEO.Percentage.1,100.0
263,162,730203.0,SEO.Percentage.2,30.0
264,162,730213.0,SEO.Percentage.1,30.0
265,162,730110.0,SEO.Percentage.3,40.0
266,163,730106.0,SEO.Percentage.1,100.0
267,164,730102.0,SEO.Percentage.1,80.0
268,164,730108.0,SEO.Percentage.2,20.0
269,165,730101.0,SEO.Percentage.1,100.0
270,166,751005.0,SEO.Percentage.2,30.0
271,166,751099.0,SEO.Percentage.1,70.0
272,167,659999.0,SEO.Percentage.1,100.0
273,168,730101.0,SEO.Percentage.1,50.0
274,168,730102.0,SEO.Percentage.2,50.0
275,169,780103.0,SEO.Percentage.1,100.0
276,170,770703.0,SEO.Percentage.1,30.0
277,170,770704.0,SEO.Percentage.2,50.0
278,170,770702.0,SEO.Percentage.3,20.0
279,171,730205.0,SEO.Percentage.2,40.0
280,171,730201.0,SEO.Percentage.1,60.0
281,172,780103.0,SEO.Percentage.1,100.0
282,173,730201.0,SEO.Percentage.1,100.0
283,174,730113.0,SEO.Percentage.1,70.0
284,174,730104.0,SEO.Percentage.2,30.0
285,175,780104.0,SEO.Percentage.3,40.0
286,175,770802.0,SEO.Percentage.1,30.0
287,175,770702.0,SEO.Percentage.2,30.0
288,176,760104.0,SEO.Percentage.3,20.0
289,176,770806.0,SEO.Percentage.1,60.0
290,176,770805.0,SEO.Percentage.2,20.0
291,177,749999.0,SEO.Percentage.1,100.0
292,178,730105.0,SEO.Percentage.1,100.0
293,179,720599.0,SEO.Percentage.3,20.0
294,179,780102.0,SEO.Percentage.1,60.0
295,179,671401.0,SEO.Percentage.2,20.0
296,180,630502.0,SEO.Percentage.1,50.0
297,180,780105.0,SEO.Percentage.3,10.0
298,180,620501.0,SEO.Percentage.2,40.0
299,181,730106.0,SEO.Percentage.1,100.0
300,184,750204.0,SEO.Percentage.2,40.0
301,184,700399.0,SEO.Percentage.1,55.0
302,184,750203.0,SEO.Percentage.3,5.0
303,185,730299.0,SEO.Percentage.3,70.0
304,185,730218.0,SEO.Percentage.2,10.0
305,185,730210.0,SEO.Percentage.1,20.0
306,186,730102.0,SEO.Percentage.1,50.0
307,186,730103.0,SEO.Percentage.3,20.0
308,186,730101.0,SEO.Percentage.2,30.0
309,187,730105.0,SEO.Percentage.1,100.0
310,188,771006.0,SEO.Percentage.1,100.0
311,189,730107.0,SEO.Percentage.1,100.0
312,190,671299.0,SEO.Percentage.2,30.0
313,190,780105.0,SEO.Percentage.3,30.0
314,190,700103.0,SEO.Percentage.1,40.0
315,192,770802.0,SEO.Percentage.1,70.0
316,192,770805.0,SEO.Percentage.2,30.0
317,194,730104.0,SEO.Percentage.2,50.0
318,194,730111.0,SEO.Percentage.1,50.0
319,196,780105.0,SEO.Percentage.1,100.0
320,197,730303.0,SEO.Percentage.1,40.0
321,197,730111.0,SEO.Percentage.3,20.0
322,197,730217.0,SEO.Percentage.2,40.0
323,199,730219.0,SEO.Percentage.2,50.0
324,199,730211.0,SEO.Percentage.1,50.0
325,200,730211.0,SEO.Percentage.1,100.0
326,201,730108.0,SEO.Percentage.1,100.0
327,202,750699.0,SEO.Percentage.3,20.0
328,202,750504.0,SEO.Percentage.2,40.0
329,202,750502.0,SEO.Percentage.1,40.0
330,203,730213.0,SEO.Percentage.1,50.0
331,203,730110.0,SEO.Percentage.2,50.0
332,204,750701.0,SEO.Percentage.2,50.0
333,204,750599.0,SEO.Percentage.1,50.0
334,205,730104.0,SEO.Percentage.2,10.0
335,205,780108.0,SEO.Percentage.1,90.0
336,206,750201.0,SEO.Percentage.1,80.0
337,206,750902.0,SEO.Percentage.3,10.0
338,206,750802.0,SEO.Percentage.2,10.0
339,207,610199.0,SEO.Percentage.3,30.0
340,207,700103.0,SEO.Percentage.1,40.0
341,207,671201.0,SEO.Percentage.2,30.0
342,209,710403.0,SEO.Percentage.1,100.0
343,210,750703.0,SEO.Percentage.3,30.0
344,210,750701.0,SEO.Percentage.1,40.0
345,210,750702.0,SEO.Percentage.2,30.0
346,212,730107.0,SEO.Percentage.2,50.0
347,212,730108.0,SEO.Percentage.1,50.0
348,213,730299.0,SEO.Percentage.3,10.0
349,213,730114.0,SEO.Percentage.2,40.0
350,213,730213.0,SEO.Percentage.1,50.0
351,214,730213.0,SEO.Percentage.2,30.0
352,214,730211.0,SEO.Percentage.1,70.0
353,215,730199.0,SEO.Percentage.1,100.0
354,216,750403.0,SEO.Percentage.1,50.0
355,216,730211.0,SEO.Percentage.2,50.0
356,217,780105.0,SEO.Percentage.1,100.0
357,218,730213.0,SEO.Percentage.2,50.0
358,218,730212.0,SEO.Percentage.1,50.0
359,219,730110.0,SEO.Percentage.1,100.0
360,220,730308.0,SEO.Percentage.2,30.0
361,220,730302.0,SEO.Percentage.1,50.0
362,220,720299.0,SEO.Percentage.3,20.0
363,221,770504.0,SEO.Percentage.1,100.0
364,222,650302.0,SEO.Percentage.3,34.0
365,222,640301.0,SEO.Percentage.1,33.0
366,222,640306.0,SEO.Percentage.2,33.0
367,223,750899.0,SEO.Percentage.2,50.0
368,223,770302.0,SEO.Percentage.1,50.0
369,224,730106.0,SEO.Percentage.1,100.0
370,225,700199.0,SEO.Percentage.2,20.0
371,225,780102.0,SEO.Percentage.1,80.0
372,226,730204.0,SEO.Percentage.2,50.0
373,226,730201.0,SEO.Percentage.1,50.0
374,227,730105.0,SEO.Percentage.1,100.0
375,228,730105.0,SEO.Percentage.1,100.0
376,229,730211.0,SEO.Percentage.2,10.0
377,229,730104.0,SEO.Percentage.1,90.0
378,230,730103.0,SEO.Percentage.1,100.0
379,231,730214.0,SEO.Percentage.1,100.0
380,232,730108.0,SEO.Percentage.1,100.0
381,233,750901.0,SEO.Percentage.1,100.0
382,236,730306.0,SEO.Percentage.1,100.0
383,237,730305.0,SEO.Percentage.3,20.0
384,237,780102.0,SEO.Percentage.1,60.0
385,237,670402.0,SEO.Percentage.2,20.0
386,238,770702.0,SEO.Percentage.1,100.0
387,239,730102.0,SEO.Percentage.2,20.0
388,239,730105.0,SEO.Percentage.1,80.0
389,240,670100.0,SEO.Percentage.2,30.0
390,240,740100.0,SEO.Percentage.1,40.0
391,240,780102.0,SEO.Percentage.3,30.0
392,241,730214.0,SEO.Percentage.1,100.0
393,242,671704.0,SEO.Percentage.1,50.0
394,242,730300.0,SEO.Percentage.2,50.0
395,243,780105.0,SEO.Percentage.1,70.0
396,243,730110.0,SEO.Percentage.2,25.0
397,243,730108.0,SEO.Percentage.3,5.0
398,244,730104.0,SEO.Percentage.1,90.0
399,244,730211.0,SEO.Percentage.2,10.0
400,245,780103.0,SEO.Percentage.1,100.0
401,246,730218.0,SEO.Percentage.1,30.0
402,246,750599.0,SEO.Percentage.3,30.0
403,246,730307.0,SEO.Percentage.2,40.0
404,247,730114.0,SEO.Percentage.1,50.0
405,247,730102.0,SEO.Percentage.2,50.0
406,248,730104.0,SEO.Percentage.1,100.0
407,249,780102.0,SEO.Percentage.2,40.0
408,249,780101.0,SEO.Percentage.1,60.0
409,250,730214.0,SEO.Percentage.1,100.0
410,251,730305.0,SEO.Percentage.3,10.0
411,251,671402.0,SEO.Percentage.2,10.0
412,251,730104.0,SEO.Percentage.1,80.0
413,252,780105.0,SEO.Percentage.1,50.0
414,252,620399.0,SEO.Percentage.3,20.0
415,252,620302.0,SEO.Percentage.2,30.0
416,254,780101.0,SEO.Percentage.2,50.0
417,254,671299.0,SEO.Percentage.1,50.0
418,255,770805.0,SEO.Percentage.2,30.0
419,255,770802.0,SEO.Percentage.1,70.0
420,256,730305.0,SEO.Percentage.1,50.0
421,256,730199.0,SEO.Percentage.2,50.0
422,257,730108.0,SEO.Percentage.1,50.0
423,257,730000.0,SEO.Percentage.2,50.0
424,258,730107.0,SEO.Percentage.3,10.0
425,258,730105.0,SEO.Percentage.1,70.0
426,258,730106.0,SEO.Percentage.2,20.0
427,260,730106.0,SEO.Percentage.1,100.0
428,261,750599.0,SEO.Percentage.1,100.0
429,264,770101.0,SEO.Percentage.1,60.0
430,264,770102.0,SEO.Percentage.2,40.0
431,265,780107.0,SEO.Percentage.1,100.0
432,266,730101.0,SEO.Percentage.1,100.0
433,267,730102.0,SEO.Percentage.2,50.0
434,267,730114.0,SEO.Percentage.1,50.0
435,268,730113.0,SEO.Percentage.2,25.0
436,268,730110.0,SEO.Percentage.1,50.0
437,268,730303.0,SEO.Percentage.3,25.0
438,269,730217.0,SEO.Percentage.2,50.0
439,269,740201.0,SEO.Percentage.1,50.0
440,270,730101.0,SEO.Percentage.1,80.0
441,270,730113.0,SEO.Percentage.2,20.0
442,271,630106.0,SEO.Percentage.1,70.0
443,271,730116.0,SEO.Percentage.2,30.0
444,272,730108.0,SEO.Percentage.1,100.0
445,274,720403.0,SEO.Percentage.2,20.0
446,274,729901.0,SEO.Percentage.1,80.0
447,276,730108.0,SEO.Percentage.1,100.0
448,277,730104.0,SEO.Percentage.1,100.0
449,278,671704.0,SEO.Percentage.1,100.0
450,279,770705.0,SEO.Percentage.2,20.0
451,279,760104.0,SEO.Percentage.3,20.0
452,279,770706.0,SEO.Percentage.1,60.0
453,280,730207.0,SEO.Percentage.2,50.0
454,280,730201.0,SEO.Percentage.1,50.0
455,281,730118.0,SEO.Percentage.2,10.0
456,281,730104.0,SEO.Percentage.3,10.0
457,281,730000.0,SEO.Percentage.1,80.0
458,282,730213.0,SEO.Percentage.2,50.0
459,282,730206.0,SEO.Percentage.1,50.0
460,283,759999.0,SEO.Percentage.3,30.0
461,283,750312.0,SEO.Percentage.2,30.0
462,283,730201.0,SEO.Percentage.1,40.0
463,284,730115.0,SEO.Percentage.1,100.0
464,285,750702.0,SEO.Percentage.2,30.0
465,285,750401.0,SEO.Percentage.3,30.0
466,285,750599.0,SEO.Percentage.1,40.0
467,286,730305.0,SEO.Percentage.3,30.0
468,286,730108.0,SEO.Percentage.1,40.0
469,286,730114.0,SEO.Percentage.2,30.0
470,287,740201.0,SEO.Percentage.1,100.0
471,289,780105.0,SEO.Percentage.1,100.0
472,290,730213.0,SEO.Percentage.2,40.0
473,290,730211.0,SEO.Percentage.3,10.0
474,290,730204.0,SEO.Percentage.1,50.0
475,291,780108.0,SEO.Percentage.1,50.0
476,291,780107.0,SEO.Percentage.2,50.0
477,292,730106.0,SEO.Percentage.3,10.0
478,292,730110.0,SEO.Percentage.1,50.0
479,292,730117.0,SEO.Percentage.2,40.0
480,293,730301.0,SEO.Percentage.3,10.0
481,293,730210.0,SEO.Percentage.1,70.0
482,293,730219.0,SEO.Percentage.2,20.0
483,294,730100.0,SEO.Percentage.1,100.0
484,295,730201.0,SEO.Percentage.2,30.0
485,295,730219.0,SEO.Percentage.3,20.0
486,295,730205.0,SEO.Percentage.1,50.0
487,296,730106.0,SEO.Percentage.1,100.0
488,297,730114.0,SEO.Percentage.1,100.0
489,298,730105.0,SEO.Percentage.1,100.0
490,299,770102.0,SEO.Percentage.2,75.0
491,299,770101.0,SEO.Percentage.1,25.0
492,300,780101.0,SEO.Percentage.2,40.0
493,300,700302.0,SEO.Percentage.3,10.0
494,300,700103.0,SEO.Percentage.1,50.0
495,301,780102.0,SEO.Percentage.1,100.0
496,302,730203.0,SEO.Percentage.1,60.0
497,302,730104.0,SEO.Percentage.2,40.0
498,303,730111.0,SEO.Percentage.2,20.0
499,303,730104.0,SEO.Percentage.1,80.0
500,304,720299.0,SEO.Percentage.1,100.0
501,305,730112.0,SEO.Percentage.1,100.0
502,306,730102.0,SEO.Percentage.1,100.0
503,307,770306.0,SEO.Percentage.2,20.0
504,307,770302.0,SEO.Percentage.1,60.0
505,307,770102.0,SEO.Percentage.3,20.0
506,308,730303.0,SEO.Percentage.1,50.0
507,308,730109.0,SEO.Percentage.3,25.0
508,308,730217.0,SEO.Percentage.2,25.0
509,310,730199.0,SEO.Percentage.3,40.0
510,310,670402.0,SEO.Percentage.1,20.0
511,310,730106.0,SEO.Percentage.2,40.0
512,311,750801.0,SEO.Percentage.2,30.0
513,311,750308.0,SEO.Percentage.3,20.0
514,311,750901.0,SEO.Percentage.1,50.0
515,312,750901.0,SEO.Percentage.2,40.0
516,312,750399.0,SEO.Percentage.1,50.0
517,312,750104.0,SEO.Percentage.3,10.0
518,313,780107.0,SEO.Percentage.1,100.0
519,314,610103.0,SEO.Percentage.2,10.0
520,314,660403.0,SEO.Percentage.3,20.0
521,314,780102.0,SEO.Percentage.1,70.0
522,316,770302.0,SEO.Percentage.1,70.0
523,316,770307.0,SEO.Percentage.2,30.0
524,317,730203.0,SEO.Percentage.1,100.0
525,318,730105.0,SEO.Percentage.1,100.0
526,320,730104.0,SEO.Percentage.1,100.0
527,321,780102.0,SEO.Percentage.1,100.0
528,322,780105.0,SEO.Percentage.1,100.0
529,323,620209.0,SEO.Percentage.1,80.0
530,323,770706.0,SEO.Percentage.2,20.0
531,324,780105.0,SEO.Percentage.1,100.0
532,325,730101.0,SEO.Percentage.1,100.0
533,326,730204.0,SEO.Percentage.1,100.0
534,327,730199.0,SEO.Percentage.1,70.0
535,327,730104.0,SEO.Percentage.2,15.0
536,327,730211.0,SEO.Percentage.3,15.0
537,328,730108.0,SEO.Percentage.1,100.0
538,329,780105.0,SEO.Percentage.1,100.0
539,330,670706.0,SEO.Percentage.2,30.0
540,330,660502.0,SEO.Percentage.3,20.0
541,330,680303.0,SEO.Percentage.1,50.0
542,331,730106.0,SEO.Percentage.1,100.0
543,332,730104.0,SEO.Percentage.1,50.0
544,332,730204.0,SEO.Percentage.3,20.0
545,332,730107.0,SEO.Percentage.2,30.0
546,333,780104.0,SEO.Percentage.2,50.0
547,333,640199.0,SEO.Percentage.1,50.0
548,334,730211.0,SEO.Percentage.1,100.0
549,335,740501.0,SEO.Percentage.1,100.0
550,336,730105.0,SEO.Percentage.1,50.0
551,336,730111.0,SEO.Percentage.2,50.0
552,337,730204.0,SEO.Percentage.1,40.0
553,337,730215.0,SEO.Percentage.2,30.0
554,337,730105.0,SEO.Percentage.3,30.0
555,338,730118.0,SEO.Percentage.1,100.0
556,339,630199.0,SEO.Percentage.1,100.0
557,340,671401.0,SEO.Percentage.2,20.0
558,340,780102.0,SEO.Percentage.1,80.0
559,343,780199.0,SEO.Percentage.1,100.0
560,344,730218.0,SEO.Percentage.2,30.0
561,344,730212.0,SEO.Percentage.1,40.0
562,344,750306.0,SEO.Percentage.3,30.0
563,345,730104.0,SEO.Percentage.2,20.0
564,345,730111.0,SEO.Percentage.1,60.0
565,345,730215.0,SEO.Percentage.3,20.0
566,346,730201.0,SEO.Percentage.3,33.0
567,346,730107.0,SEO.Percentage.2,33.0
568,346,730108.0,SEO.Percentage.1,34.0
569,347,730108.0,SEO.Percentage.1,100.0
570,348,730104.0,SEO.Percentage.1,100.0
571,349,730105.0,SEO.Percentage.1,100.0
572,351,730213.0,SEO.Percentage.2,40.0
573,351,730204.0,SEO.Percentage.1,60.0
574,352,730104.0,SEO.Percentage.1,100.0
575,353,730211.0,SEO.Percentage.1,50.0
576,353,730219.0,SEO.Percentage.2,50.0
577,354,730102.0,SEO.Percentage.1,100.0
578,355,730211.0,SEO.Percentage.1,100.0
579,356,730113.0,SEO.Percentage.1,100.0
580,357,730108.0,SEO.Percentage.1,100.0
