,id,RFCD.Code,variable,value
89,46,380105.0,RFCD.Percentage.3,20.0
90,47,260601.0,RFCD.Percentage.2,40.0
91,47,260602.0,RFCD.Percentage.1,60.0
92,48,321003.0,RFCD.Percentage.1,100.0
93,49,321402.0,RFCD.Percentage.1,100.0
94,50,300508.0,RFCD.Percentage.1,50.0
95,50,270201.0,RFCD.Percentage.2,50.0
96,51,270899.0,RFCD.Percentage.2,30.0
97,51,300403.0,RFCD.Percentage.1,60.0
98,51,270604.0,RFCD.Percentage.3,10.0
99,52,270402.0,RFCD.Percentage.1,100.0
100,53,380107.0,RFCD.Percentage.1,65.0
101,53,321299.0,RFCD.Percentage.2,35.0
102,54,300204.0,RFCD.Percentage.2,50.0
103,54,270403.0,RFCD.Percentage.1,50.0
104,55,321015.0,RFCD.Percentage.1,100.0
105,56,270708.0,RFCD.Percentage.1,100.0
106,57,320700.0,RFCD.Percentage.1,50.0
107,57,321000.0,RFCD.Percentage.2,50.0
108,59,330103.0,RFCD.Percentage.1,100.0
109,60,321015.0,RFCD.Percentage.1,100.0
110,61,270106.0,RFCD.Percentage.1,30.0
111,61,270201.0,RFCD.Percentage.2,50.0
112,61,270105.0,RFCD.Percentage.3,20.0
113,62,270000.0,RFCD.Percentage.2,50.0
114,62,210000.0,RFCD.Percentage.1,50.0
115,63,300405.0,RFCD.Percentage.2,34.0
116,63,270105.0,RFCD.Percentage.1,33.0
117,63,270205.0,RFCD.Percentage.3,33.0
118,64,270108.0,RFCD.Percentage.1,70.0
119,64,321015.0,RFCD.Percentage.2,30.0
120,66,299999.0,RFCD.Percentage.2,30.0
121,66,240204.0,RFCD.Percentage.1,40.0
122,66,291702.0,RFCD.Percentage.3,30.0
123,68,321206.0,RFCD.Percentage.1,100.0
124,69,320405.0,RFCD.Percentage.1,80.0
125,69,270199.0,RFCD.Percentage.2,10.0
126,69,270304.0,RFCD.Percentage.3,10.0
127,70,250200.0,RFCD.Percentage.1,100.0
128,71,270203.0,RFCD.Percentage.2,50.0
129,71,321202.0,RFCD.Percentage.1,50.0
130,72,360299.0,RFCD.Percentage.1,60.0
131,72,310103.0,RFCD.Percentage.2,40.0
132,73,321004.0,RFCD.Percentage.1,50.0
133,73,321012.0,RFCD.Percentage.2,50.0
134,74,320502.0,RFCD.Percentage.1,100.0
135,75,300399.0,RFCD.Percentage.2,50.0
136,75,300105.0,RFCD.Percentage.1,50.0
137,76,270103.0,RFCD.Percentage.1,70.0
138,76,270199.0,RFCD.Percentage.2,30.0
139,77,321216.0,RFCD.Percentage.1,50.0
140,77,321299.0,RFCD.Percentage.2,50.0
141,78,321021.0,RFCD.Percentage.1,100.0
142,79,321004.0,RFCD.Percentage.1,100.0
143,80,279901.0,RFCD.Percentage.1,100.0
144,81,321216.0,RFCD.Percentage.2,40.0
145,81,321004.0,RFCD.Percentage.1,60.0
146,82,321202.0,RFCD.Percentage.3,30.0
147,82,230204.0,RFCD.Percentage.2,30.0
148,82,321015.0,RFCD.Percentage.1,40.0
149,83,321010.0,RFCD.Percentage.2,25.0
150,83,320402.0,RFCD.Percentage.3,25.0
151,83,320305.0,RFCD.Percentage.1,50.0
152,84,321204.0,RFCD.Percentage.2,30.0
153,84,321208.0,RFCD.Percentage.1,45.0
154,84,321206.0,RFCD.Percentage.3,25.0
155,85,270899.0,RFCD.Percentage.2,30.0
156,85,329999.0,RFCD.Percentage.3,30.0
157,85,290104.0,RFCD.Percentage.1,40.0
158,86,321204.0,RFCD.Percentage.2,40.0
159,86,321021.0,RFCD.Percentage.1,20.0
160,86,380107.0,RFCD.Percentage.3,40.0
161,87,300204.0,RFCD.Percentage.1,100.0
162,88,300602.0,RFCD.Percentage.2,30.0
163,88,270804.0,RFCD.Percentage.1,40.0
164,88,300699.0,RFCD.Percentage.3,30.0
165,89,321013.0,RFCD.Percentage.2,40.0
166,89,321006.0,RFCD.Percentage.1,60.0
167,91,320202.0,RFCD.Percentage.1,60.0
168,91,270199.0,RFCD.Percentage.2,40.0
169,92,321204.0,RFCD.Percentage.1,10.0
170,92,321214.0,RFCD.Percentage.2,40.0
171,92,321216.0,RFCD.Percentage.3,50.0
172,93,291899.0,RFCD.Percentage.2,40.0
173,93,290801.0,RFCD.Percentage.1,60.0
174,94,340201.0,RFCD.Percentage.2,40.0
175,94,291104.0,RFCD.Percentage.1,40.0
176,94,300902.0,RFCD.Percentage.3,20.0
177,95,270199.0,RFCD.Percentage.1,100.0
178,96,320302.0,RFCD.Percentage.1,100.0
179,97,230204.0,RFCD.Percentage.1,50.0
180,97,321202.0,RFCD.Percentage.2,50.0
181,98,270299.0,RFCD.Percentage.2,50.0
182,98,270699.0,RFCD.Percentage.1,50.0
183,99,400101.0,RFCD.Percentage.2,30.0
184,99,360101.0,RFCD.Percentage.1,60.0
185,99,400104.0,RFCD.Percentage.3,10.0
186,100,370302.0,RFCD.Percentage.2,35.0
187,100,380103.0,RFCD.Percentage.1,35.0
188,100,321022.0,RFCD.Percentage.3,30.0
189,101,291000.0,RFCD.Percentage.2,60.0
190,101,280100.0,RFCD.Percentage.1,40.0
191,102,321005.0,RFCD.Percentage.1,100.0
192,103,390302.0,RFCD.Percentage.2,30.0
193,103,390301.0,RFCD.Percentage.1,50.0
194,103,390304.0,RFCD.Percentage.3,20.0
195,104,320899.0,RFCD.Percentage.1,100.0
196,105,350302.0,RFCD.Percentage.2,50.0
197,105,350301.0,RFCD.Percentage.1,50.0
198,106,321006.0,RFCD.Percentage.1,100.0
199,107,320503.0,RFCD.Percentage.1,100.0
200,108,300399.0,RFCD.Percentage.1,100.0
201,109,320702.0,RFCD.Percentage.1,100.0
202,110,270106.0,RFCD.Percentage.1,100.0
203,111,240501.0,RFCD.Percentage.2,50.0
204,111,290102.0,RFCD.Percentage.1,50.0
205,112,320702.0,RFCD.Percentage.3,50.0
206,112,270105.0,RFCD.Percentage.2,25.0
207,112,270103.0,RFCD.Percentage.1,25.0
208,113,321003.0,RFCD.Percentage.1,50.0
209,113,321004.0,RFCD.Percentage.2,50.0
210,114,270208.0,RFCD.Percentage.1,100.0
211,115,329903.0,RFCD.Percentage.2,10.0
212,115,321015.0,RFCD.Percentage.1,80.0
213,115,320503.0,RFCD.Percentage.3,10.0
214,116,340210.0,RFCD.Percentage.2,40.0
215,116,340207.0,RFCD.Percentage.1,60.0
216,117,321206.0,RFCD.Percentage.2,50.0
217,117,321202.0,RFCD.Percentage.1,50.0
218,118,260107.0,RFCD.Percentage.1,100.0
219,119,321004.0,RFCD.Percentage.1,50.0
220,119,321202.0,RFCD.Percentage.2,50.0
221,120,320702.0,RFCD.Percentage.1,100.0
222,121,270106.0,RFCD.Percentage.1,80.0
223,121,270602.0,RFCD.Percentage.2,20.0
224,122,270504.0,RFCD.Percentage.1,100.0
225,123,320403.0,RFCD.Percentage.1,100.0
226,124,270199.0,RFCD.Percentage.1,100.0
227,125,321208.0,RFCD.Percentage.1,100.0
228,126,321015.0,RFCD.Percentage.1,100.0
229,128,320705.0,RFCD.Percentage.1,40.0
230,128,320702.0,RFCD.Percentage.2,30.0
231,128,321016.0,RFCD.Percentage.3,30.0
232,129,320405.0,RFCD.Percentage.1,70.0
233,129,320202.0,RFCD.Percentage.2,30.0
234,130,320207.0,RFCD.Percentage.1,100.0
235,131,310101.0,RFCD.Percentage.1,100.0
236,132,260502.0,RFCD.Percentage.3,10.0
237,132,260601.0,RFCD.Percentage.2,30.0
238,132,260602.0,RFCD.Percentage.1,60.0
239,133,320202.0,RFCD.Percentage.1,100.0
240,134,320701.0,RFCD.Percentage.1,100.0
241,135,360299.0,RFCD.Percentage.2,40.0
242,135,310103.0,RFCD.Percentage.1,60.0
243,136,321015.0,RFCD.Percentage.1,100.0
244,137,320702.0,RFCD.Percentage.3,10.0
245,137,321206.0,RFCD.Percentage.2,45.0
246,137,380103.0,RFCD.Percentage.1,45.0
247,138,290801.0,RFCD.Percentage.1,100.0
248,139,250200.0,RFCD.Percentage.1,100.0
249,140,320701.0,RFCD.Percentage.1,100.0
250,142,270899.0,RFCD.Percentage.3,30.0
251,142,250104.0,RFCD.Percentage.2,30.0
252,142,270199.0,RFCD.Percentage.1,40.0
253,143,321003.0,RFCD.Percentage.2,30.0
254,143,321012.0,RFCD.Percentage.3,50.0
255,143,270603.0,RFCD.Percentage.1,20.0
256,144,321004.0,RFCD.Percentage.1,50.0
257,144,321202.0,RFCD.Percentage.2,50.0
258,145,320700.0,RFCD.Percentage.1,100.0
259,146,320603.0,RFCD.Percentage.2,50.0
260,146,320703.0,RFCD.Percentage.1,50.0
261,147,330109.0,RFCD.Percentage.2,40.0
262,147,330104.0,RFCD.Percentage.1,60.0
263,148,321204.0,RFCD.Percentage.1,100.0
264,149,320702.0,RFCD.Percentage.1,100.0
265,150,321210.0,RFCD.Percentage.3,10.0
266,150,321024.0,RFCD.Percentage.2,40.0
267,150,321019.0,RFCD.Percentage.1,50.0
268,153,321006.0,RFCD.Percentage.1,50.0
269,153,329999.0,RFCD.Percentage.3,25.0
270,153,321027.0,RFCD.Percentage.2,25.0
271,154,321201.0,RFCD.Percentage.1,100.0
272,156,270106.0,RFCD.Percentage.1,30.0
273,156,270105.0,RFCD.Percentage.3,20.0
274,156,270201.0,RFCD.Percentage.2,50.0
275,157,321028.0,RFCD.Percentage.1,50.0
276,157,321003.0,RFCD.Percentage.2,50.0
277,158,321011.0,RFCD.Percentage.3,60.0
278,158,321000.0,RFCD.Percentage.2,15.0
279,158,320000.0,RFCD.Percentage.1,25.0
280,159,270199.0,RFCD.Percentage.2,20.0
281,159,240499.0,RFCD.Percentage.1,80.0
282,160,321003.0,RFCD.Percentage.2,30.0
283,160,270603.0,RFCD.Percentage.1,40.0
284,160,321004.0,RFCD.Percentage.3,30.0
285,161,270208.0,RFCD.Percentage.1,100.0
286,162,321027.0,RFCD.Percentage.3,60.0
287,162,321202.0,RFCD.Percentage.1,20.0
288,162,270203.0,RFCD.Percentage.2,20.0
289,163,320502.0,RFCD.Percentage.1,100.0
290,164,270103.0,RFCD.Percentage.1,100.0
291,165,300508.0,RFCD.Percentage.1,100.0
292,166,380204.0,RFCD.Percentage.2,49.0
293,166,380299.0,RFCD.Percentage.1,51.0
294,167,339999.0,RFCD.Percentage.1,100.0
295,168,270304.0,RFCD.Percentage.1,100.0
296,169,259904.0,RFCD.Percentage.1,80.0
297,169,250203.0,RFCD.Percentage.2,10.0
298,169,250201.0,RFCD.Percentage.3,10.0
299,170,260502.0,RFCD.Percentage.1,20.0
300,170,270701.0,RFCD.Percentage.2,80.0
301,171,321099.0,RFCD.Percentage.1,100.0
302,172,250103.0,RFCD.Percentage.1,100.0
303,173,230204.0,RFCD.Percentage.1,50.0
304,173,321202.0,RFCD.Percentage.2,50.0
305,174,320701.0,RFCD.Percentage.1,60.0
306,174,321006.0,RFCD.Percentage.2,40.0
307,175,260502.0,RFCD.Percentage.2,70.0
308,175,260501.0,RFCD.Percentage.1,30.0
309,176,270306.0,RFCD.Percentage.1,50.0
310,176,270708.0,RFCD.Percentage.3,20.0
311,176,300102.0,RFCD.Percentage.2,30.0
312,177,440205.0,RFCD.Percentage.1,100.0
313,178,321004.0,RFCD.Percentage.2,50.0
314,178,270603.0,RFCD.Percentage.1,50.0
315,179,240301.0,RFCD.Percentage.1,60.0
316,179,240402.0,RFCD.Percentage.3,20.0
317,179,240303.0,RFCD.Percentage.2,20.0
318,180,270203.0,RFCD.Percentage.1,50.0
319,180,300204.0,RFCD.Percentage.2,50.0
320,181,270603.0,RFCD.Percentage.1,50.0
321,181,321004.0,RFCD.Percentage.2,50.0
322,184,289999.0,RFCD.Percentage.3,10.0
323,184,321499.0,RFCD.Percentage.2,20.0
324,184,280104.0,RFCD.Percentage.1,70.0
325,185,321299.0,RFCD.Percentage.1,80.0
326,185,321202.0,RFCD.Percentage.2,20.0
327,186,300504.0,RFCD.Percentage.3,25.0
328,186,250105.0,RFCD.Percentage.1,50.0
329,186,320200.0,RFCD.Percentage.2,25.0
330,187,321004.0,RFCD.Percentage.1,100.0
331,188,270708.0,RFCD.Percentage.1,100.0
332,189,270106.0,RFCD.Percentage.2,50.0
333,189,329903.0,RFCD.Percentage.1,50.0
334,190,280209.0,RFCD.Percentage.2,30.0
335,190,280210.0,RFCD.Percentage.1,40.0
336,190,270502.0,RFCD.Percentage.3,30.0
337,192,269901.0,RFCD.Percentage.1,80.0
338,192,260502.0,RFCD.Percentage.2,20.0
339,194,320702.0,RFCD.Percentage.3,10.0
340,194,320705.0,RFCD.Percentage.2,40.0
341,194,321016.0,RFCD.Percentage.1,50.0
342,196,320702.0,RFCD.Percentage.1,100.0
343,197,410199.0,RFCD.Percentage.2,40.0
344,197,321025.0,RFCD.Percentage.1,40.0
345,197,321216.0,RFCD.Percentage.3,20.0
346,199,321021.0,RFCD.Percentage.1,50.0
347,199,321204.0,RFCD.Percentage.2,50.0
348,200,321021.0,RFCD.Percentage.1,100.0
349,201,321015.0,RFCD.Percentage.1,100.0
350,202,360299.0,RFCD.Percentage.3,20.0
351,202,390305.0,RFCD.Percentage.1,40.0
352,202,390499.0,RFCD.Percentage.2,40.0
353,203,321206.0,RFCD.Percentage.1,100.0
354,204,390303.0,RFCD.Percentage.2,30.0
355,204,360104.0,RFCD.Percentage.3,20.0
356,204,390111.0,RFCD.Percentage.1,50.0
357,205,380399.0,RFCD.Percentage.1,90.0
358,205,380102.0,RFCD.Percentage.2,10.0
359,206,430108.0,RFCD.Percentage.2,20.0
360,206,410101.0,RFCD.Percentage.1,80.0
361,207,240203.0,RFCD.Percentage.2,30.0
362,207,240402.0,RFCD.Percentage.3,20.0
363,207,291702.0,RFCD.Percentage.1,50.0
364,209,350603.0,RFCD.Percentage.1,100.0
365,210,360105.0,RFCD.Percentage.1,70.0
366,210,360199.0,RFCD.Percentage.2,30.0
367,212,270203.0,RFCD.Percentage.1,100.0
368,214,321202.0,RFCD.Percentage.3,20.0
369,214,321216.0,RFCD.Percentage.1,50.0
370,214,321204.0,RFCD.Percentage.2,30.0
371,215,210000.0,RFCD.Percentage.1,50.0
372,215,320701.0,RFCD.Percentage.2,50.0
373,216,380107.0,RFCD.Percentage.2,50.0
374,216,440104.0,RFCD.Percentage.1,50.0
375,217,270103.0,RFCD.Percentage.1,100.0
376,218,321015.0,RFCD.Percentage.2,33.0
377,218,321202.0,RFCD.Percentage.3,34.0
378,218,270299.0,RFCD.Percentage.1,33.0
379,219,320299.0,RFCD.Percentage.1,100.0
380,220,340207.0,RFCD.Percentage.2,40.0
381,220,340204.0,RFCD.Percentage.1,60.0
382,221,270501.0,RFCD.Percentage.1,75.0
383,221,270701.0,RFCD.Percentage.2,25.0
384,222,290702.0,RFCD.Percentage.3,20.0
385,222,250103.0,RFCD.Percentage.1,40.0
386,222,291801.0,RFCD.Percentage.2,40.0
387,223,370302.0,RFCD.Percentage.3,10.0
388,223,270401.0,RFCD.Percentage.1,40.0
389,223,270404.0,RFCD.Percentage.2,50.0
390,224,320701.0,RFCD.Percentage.2,33.0
391,224,320603.0,RFCD.Percentage.1,33.0
392,224,320702.0,RFCD.Percentage.3,34.0
393,225,240302.0,RFCD.Percentage.2,50.0
394,225,240201.0,RFCD.Percentage.1,50.0
395,226,321014.0,RFCD.Percentage.1,100.0
396,227,321016.0,RFCD.Percentage.1,100.0
397,228,270603.0,RFCD.Percentage.1,80.0
398,228,270201.0,RFCD.Percentage.2,20.0
399,229,320705.0,RFCD.Percentage.1,80.0
400,229,321005.0,RFCD.Percentage.2,10.0
401,229,321204.0,RFCD.Percentage.3,10.0
402,230,321008.0,RFCD.Percentage.1,100.0
403,231,320899.0,RFCD.Percentage.1,100.0
404,232,321015.0,RFCD.Percentage.1,100.0
405,233,430101.0,RFCD.Percentage.1,100.0
406,234,320702.0,RFCD.Percentage.1,100.0
407,236,321202.0,RFCD.Percentage.1,100.0
408,237,240499.0,RFCD.Percentage.3,20.0
409,237,240401.0,RFCD.Percentage.1,50.0
410,237,240402.0,RFCD.Percentage.2,30.0
411,238,300199.0,RFCD.Percentage.1,100.0
412,239,320205.0,RFCD.Percentage.2,50.0
413,239,320207.0,RFCD.Percentage.1,50.0
414,240,210000.0,RFCD.Percentage.1,40.0
415,240,300800.0,RFCD.Percentage.3,30.0
416,240,290000.0,RFCD.Percentage.2,30.0
417,241,320899.0,RFCD.Percentage.1,100.0
418,242,270802.0,RFCD.Percentage.1,90.0
419,242,321206.0,RFCD.Percentage.2,10.0
420,243,270199.0,RFCD.Percentage.1,80.0
421,243,321027.0,RFCD.Percentage.2,20.0
422,244,321204.0,RFCD.Percentage.3,10.0
423,244,320702.0,RFCD.Percentage.1,80.0
424,244,321005.0,RFCD.Percentage.2,10.0
425,245,250103.0,RFCD.Percentage.1,100.0
426,246,360201.0,RFCD.Percentage.2,40.0
427,246,321202.0,RFCD.Percentage.1,20.0
428,246,390199.0,RFCD.Percentage.3,40.0
429,247,320207.0,RFCD.Percentage.1,100.0
430,248,320702.0,RFCD.Percentage.1,100.0
431,249,230107.0,RFCD.Percentage.1,60.0
432,249,240201.0,RFCD.Percentage.2,40.0
433,250,320899.0,RFCD.Percentage.1,100.0
434,251,321022.0,RFCD.Percentage.2,40.0
435,251,321013.0,RFCD.Percentage.1,60.0
436,252,270207.0,RFCD.Percentage.2,30.0
437,252,300602.0,RFCD.Percentage.3,30.0
438,252,270203.0,RFCD.Percentage.1,40.0
439,254,290901.0,RFCD.Percentage.2,50.0
440,254,230119.0,RFCD.Percentage.1,50.0
441,255,260502.0,RFCD.Percentage.2,20.0
442,255,269901.0,RFCD.Percentage.1,80.0
443,256,291501.0,RFCD.Percentage.1,50.0
444,256,320700.0,RFCD.Percentage.2,50.0
445,257,210000.0,RFCD.Percentage.1,50.0
446,257,270106.0,RFCD.Percentage.2,50.0
447,258,321099.0,RFCD.Percentage.1,50.0
448,258,270299.0,RFCD.Percentage.2,30.0
449,258,320699.0,RFCD.Percentage.3,20.0
450,260,270603.0,RFCD.Percentage.1,50.0
451,260,321004.0,RFCD.Percentage.2,50.0
452,261,390105.0,RFCD.Percentage.1,100.0
453,262,321016.0,RFCD.Percentage.1,100.0
454,264,260109.0,RFCD.Percentage.1,50.0
455,264,260602.0,RFCD.Percentage.2,40.0
456,264,260112.0,RFCD.Percentage.3,10.0
457,265,370105.0,RFCD.Percentage.1,50.0
458,265,340201.0,RFCD.Percentage.2,50.0
459,266,270304.0,RFCD.Percentage.1,100.0
460,267,320207.0,RFCD.Percentage.1,100.0
461,268,329999.0,RFCD.Percentage.3,25.0
462,268,321006.0,RFCD.Percentage.1,50.0
463,268,321027.0,RFCD.Percentage.2,25.0
464,269,330101.0,RFCD.Percentage.1,100.0
465,270,270301.0,RFCD.Percentage.2,50.0
466,270,320401.0,RFCD.Percentage.1,50.0
467,271,270205.0,RFCD.Percentage.1,100.0
468,272,270199.0,RFCD.Percentage.1,100.0
469,274,280102.0,RFCD.Percentage.1,100.0
470,276,270000.0,RFCD.Percentage.1,100.0
471,277,239901.0,RFCD.Percentage.1,100.0
472,278,270804.0,RFCD.Percentage.3,10.0
473,278,320602.0,RFCD.Percentage.2,30.0
474,278,320502.0,RFCD.Percentage.1,60.0
475,279,300104.0,RFCD.Percentage.1,50.0
476,279,270708.0,RFCD.Percentage.3,25.0
477,279,300102.0,RFCD.Percentage.2,25.0
478,280,321216.0,RFCD.Percentage.1,50.0
479,280,321299.0,RFCD.Percentage.2,50.0
480,281,210000.0,RFCD.Percentage.1,100.0
481,282,321207.0,RFCD.Percentage.3,60.0
482,282,321010.0,RFCD.Percentage.1,10.0
483,282,321206.0,RFCD.Percentage.2,30.0
484,283,370203.0,RFCD.Percentage.3,30.0
485,283,370204.0,RFCD.Percentage.1,40.0
486,283,321209.0,RFCD.Percentage.2,30.0
487,284,320503.0,RFCD.Percentage.1,100.0
488,285,399999.0,RFCD.Percentage.1,40.0
489,285,390305.0,RFCD.Percentage.2,30.0
490,285,390102.0,RFCD.Percentage.3,30.0
491,286,321015.0,RFCD.Percentage.1,40.0
492,286,321011.0,RFCD.Percentage.2,30.0
493,286,321023.0,RFCD.Percentage.3,30.0
494,287,330199.0,RFCD.Percentage.1,50.0
495,287,330399.0,RFCD.Percentage.2,50.0
496,289,270208.0,RFCD.Percentage.2,50.0
497,289,270404.0,RFCD.Percentage.1,50.0
498,290,321216.0,RFCD.Percentage.3,20.0
499,290,330108.0,RFCD.Percentage.2,30.0
500,290,410101.0,RFCD.Percentage.1,50.0
501,291,370199.0,RFCD.Percentage.2,50.0
502,291,380199.0,RFCD.Percentage.1,50.0
503,292,320502.0,RFCD.Percentage.1,35.0
504,292,270106.0,RFCD.Percentage.2,15.0
505,292,250301.0,RFCD.Percentage.3,50.0
506,293,321202.0,RFCD.Percentage.2,40.0
507,293,321201.0,RFCD.Percentage.1,40.0
508,293,321203.0,RFCD.Percentage.3,20.0
509,294,320800.0,RFCD.Percentage.1,100.0
510,295,370603.0,RFCD.Percentage.1,60.0
511,295,321299.0,RFCD.Percentage.2,40.0
512,296,320502.0,RFCD.Percentage.1,100.0
513,297,270108.0,RFCD.Percentage.2,50.0
514,297,270105.0,RFCD.Percentage.1,50.0
515,298,321004.0,RFCD.Percentage.1,100.0
516,299,260602.0,RFCD.Percentage.2,25.0
517,299,260502.0,RFCD.Percentage.1,75.0
518,300,280301.0,RFCD.Percentage.1,40.0
519,300,280401.0,RFCD.Percentage.3,30.0
520,300,280212.0,RFCD.Percentage.2,30.0
521,301,240302.0,RFCD.Percentage.1,100.0
522,302,270102.0,RFCD.Percentage.2,30.0
523,302,270101.0,RFCD.Percentage.1,40.0
524,302,320702.0,RFCD.Percentage.3,30.0
525,303,321013.0,RFCD.Percentage.1,75.0
526,303,320702.0,RFCD.Percentage.2,25.0
527,304,340209.0,RFCD.Percentage.2,50.0
528,304,340101.0,RFCD.Percentage.1,50.0
529,305,320803.0,RFCD.Percentage.2,50.0
530,305,320804.0,RFCD.Percentage.1,50.0
531,306,320205.0,RFCD.Percentage.2,35.0
532,306,320204.0,RFCD.Percentage.1,45.0
533,306,320206.0,RFCD.Percentage.3,20.0
534,307,270706.0,RFCD.Percentage.2,50.0
535,307,270702.0,RFCD.Percentage.1,50.0
536,308,321024.0,RFCD.Percentage.1,50.0
537,308,321299.0,RFCD.Percentage.2,50.0
538,309,321105.0,RFCD.Percentage.1,100.0
539,310,321012.0,RFCD.Percentage.2,50.0
540,310,321003.0,RFCD.Percentage.1,50.0
541,311,310102.0,RFCD.Percentage.3,10.0
542,311,310105.0,RFCD.Percentage.2,40.0
543,311,430101.0,RFCD.Percentage.1,50.0
544,312,370102.0,RFCD.Percentage.2,25.0
545,312,430101.0,RFCD.Percentage.1,75.0
546,313,370302.0,RFCD.Percentage.1,100.0
547,314,291803.0,RFCD.Percentage.1,70.0
548,314,290201.0,RFCD.Percentage.3,10.0
549,314,290501.0,RFCD.Percentage.2,20.0
550,316,291003.0,RFCD.Percentage.3,40.0
551,316,300704.0,RFCD.Percentage.1,40.0
552,316,300705.0,RFCD.Percentage.2,20.0
553,317,320702.0,RFCD.Percentage.1,100.0
554,318,321004.0,RFCD.Percentage.1,100.0
555,320,250302.0,RFCD.Percentage.3,33.0
556,320,320599.0,RFCD.Percentage.1,34.0
557,320,320702.0,RFCD.Percentage.2,33.0
