Person.ID,Year.of.Birth,Country.of.Birth,Home.Language
726602,1970.0,,
80187,1945.0,Australia,
84627,1960.0,Australia,
73882,1960.0,Great Britain,
118747,1980.0,Australia,
85642,1955.0,Australia,
69262,1960.0,Australia,
80377,1945.0,Australia,
18377,1960.0,Australia,
148087,1950.0,Australia,
48892,1980.0,Australia,
67282,1965.0,Australia,
77112,1960.0,Great Britain,
12957,1965.0,Great Britain,
22792,1955.0,Australia,
612,1960.0,Australia,
12957,1965.0,Great Britain,
78752,1955.0,Western Europe,
81067,1940.0,Australia,
148087,1950.0,Australia,
26107,1970.0,Australia,
73017,1960.0,The Americas,
492057,1965.0,Asia Pacific,Other
80502,1950.0,Australia,English
68817,1955.0,Australia,
68512,1945.0,,
64277,1950.0,Australia,
783297,1975.0,,
16332,1955.0,,
393152,1940.0,Australia,
65712,1950.0,Western Europe,
40947,1965.0,Australia,English
93802,1970.0,Australia,
159607,1955.0,The Americas,Other
6712,1950.0,Australia,
34177,1960.0,North America,
624752,1970.0,,
107667,1955.0,Australia,
86302,1970.0,Australia,
500137,1975.0,North America,
1797,1960.0,North America,
34737,1970.0,North America,
122392,1975.0,Australia,
30772,1970.0,Australia,
63962,1950.0,Australia,
145057,1965.0,Australia,
25947,1960.0,Australia,
46377,1970.0,Australia,
15162,1965.0,Australia,
4702,1960.0,Australia,
147722,1970.0,Great Britain,
89472,1970.0,Australia,
72317,1950.0,Great Britain,
917,1960.0,Australia,
71442,1965.0,Australia,
67412,1960.0,Asia Pacific,English
78817,1950.0,Western Europe,
4302,1965.0,Australia,
500157,1970.0,Australia,English
1797,1960.0,North America,
69212,1940.0,Australia,
17622,1955.0,Australia,
77887,1965.0,Australia,
20122,1965.0,Great Britain,
12957,1965.0,Great Britain,
86672,1975.0,Australia,
68472,1955.0,Australia,
9227,1970.0,Australia,
28342,1960.0,Australia,
77327,1935.0,Australia,
74142,1970.0,Australia,
67282,1965.0,Australia,
11342,1965.0,Australia,
55437,1940.0,Great Britain,
79562,1955.0,Australia,
46697,1980.0,Australia,English
84622,1955.0,Australia,
17342,1960.0,Australia,
26887,1970.0,Australia,
649042,1975.0,Australia,
8667,1965.0,Australia,
99052,1970.0,Australia,
67182,1940.0,Australia,
135457,1975.0,Western Europe,
98212,1965.0,Australia,
44022,1965.0,Australia,
69657,1955.0,Great Britain,English
67932,1960.0,,
15287,1970.0,North America,
79217,1955.0,Australia,
813567,1970.0,,
145857,1965.0,Eastern Europe,Other
43597,1965.0,South Africa,
24017,1970.0,Australia,
77977,1965.0,Australia,
9757,1960.0,Australia,
34417,1970.0,Australia,
85642,1955.0,Australia,
14757,1975.0,Australia,
79747,1940.0,North America,
74372,1955.0,Australia,
67282,1965.0,Australia,
73402,1965.0,Great Britain,
73547,1940.0,Australia,
641012,1975.0,,
8377,1955.0,Great Britain,English
27757,1960.0,Australia,
67097,1960.0,Australia,
25117,1970.0,Australia,
64507,1955.0,Australia,
117502,1975.0,Australia,
5382,1965.0,Asia Pacific,
491327,1965.0,Australia,
12957,1965.0,Great Britain,
4302,1965.0,Australia,
74047,1960.0,Great Britain,
74372,1955.0,Australia,
65657,1955.0,,
73547,1940.0,Australia,
89472,1970.0,Australia,
80817,1945.0,,
12957,1965.0,Great Britain,
4502,1955.0,Australia,
64307,1950.0,Australia,
22707,1965.0,,
8012,1960.0,Western Europe,
614142,1980.0,,
10522,1965.0,Eastern Europe,Other
74142,1970.0,Australia,
593492,1970.0,,
176127,1975.0,Australia,
636257,1980.0,,
734322,1965.0,,
1797,1960.0,North America,
2252,1960.0,Australia,
9402,1965.0,,
36527,1955.0,Australia,
5287,1960.0,Australia,
11837,1950.0,Australia,
28622,1960.0,Australia,
12957,1965.0,Great Britain,
6712,1950.0,Australia,
70322,1945.0,Eastern Europe,
82527,1955.0,Australia,
4797,1965.0,Australia,
44697,1965.0,Australia,
76022,1965.0,Australia,
64077,1945.0,Asia Pacific,
64777,1940.0,Australia,
28607,1965.0,Great Britain,
80387,1945.0,Great Britain,
71442,1965.0,Australia,
9417,1950.0,Australia,
64347,1945.0,Australia,
106227,1955.0,Australia,
15282,1965.0,Australia,English
66917,1960.0,Australia,
70322,1945.0,Eastern Europe,
11342,1965.0,Australia,
66932,1940.0,Australia,
4492,1950.0,Australia,
111122,1970.0,Australia,
17367,1960.0,Asia Pacific,
34502,1970.0,Australia,English
113607,1970.0,Great Britain,
122392,1975.0,Australia,
74162,1970.0,Australia,
66187,1965.0,Asia Pacific,
130642,1965.0,Australia,
74077,1955.0,Australia,
72622,1935.0,Australia,
3327,1950.0,Australia,
77582,1960.0,Australia,
22982,1960.0,Australia,
12542,1965.0,,
68817,1955.0,Australia,
17622,1955.0,Australia,
129752,1965.0,Australia,
361647,1955.0,Australia,
67577,1945.0,Australia,
36252,1960.0,Australia,
75652,1955.0,Australia,
70947,1960.0,Asia Pacific,
74162,1970.0,Australia,
144652,1955.0,Australia,
2477,1965.0,Australia,
32522,1970.0,Australia,
85642,1955.0,Australia,
12282,1965.0,,
537,1965.0,Australia,
32892,1975.0,Australia,
73547,1940.0,Australia,
23442,1970.0,Australia,
720017,1960.0,,
20357,1965.0,The Americas,English
45462,1945.0,Australia,
78782,1955.0,Australia,
730232,1970.0,,
612,1960.0,Australia,
79242,1945.0,Australia,
6747,1955.0,Australia,English
69812,1960.0,Australia,
1797,1960.0,North America,
66782,1955.0,Australia,
573352,1965.0,,Other
3762,1960.0,Australia,
67297,1950.0,Australia,
18832,1975.0,Great Britain,English
62902,1950.0,North America,
66737,1955.0,Australia,
80377,1945.0,Australia,
103002,1965.0,Australia,
24017,1970.0,Australia,
69222,1965.0,Australia,
69812,1960.0,Australia,
110472,1965.0,Australia,English
9657,1965.0,Australia,
636677,1980.0,Australia,
129757,1975.0,Australia,
1737,1965.0,Australia,
75972,1960.0,Australia,
16137,1950.0,Australia,
7952,1965.0,Australia,
81187,1965.0,Australia,
85862,1950.0,Western Europe,
74162,1970.0,Australia,
111192,1965.0,Western Europe,Other
63192,1955.0,Australia,
66152,1965.0,Australia,
98212,1965.0,Australia,
491302,1955.0,Australia,
79032,1955.0,Australia,
63137,1945.0,Australia,
33312,1965.0,Australia,
713112,1975.0,,
25662,1975.0,Australia,
159607,1955.0,The Americas,Other
147717,1965.0,Great Britain,
55437,1940.0,Great Britain,
67647,1965.0,Australia,
12887,1960.0,Australia,
78637,1950.0,Australia,
23412,1975.0,,
63782,1950.0,Australia,
697842,1975.0,,
73652,1950.0,Great Britain,
18752,1965.0,Australia,
58747,1980.0,Australia,
89902,1960.0,Australia,
329757,1950.0,,
28607,1965.0,Great Britain,
612,1960.0,Australia,
34737,1970.0,North America,
22077,1955.0,Western Europe,
720017,1960.0,,
81187,1965.0,Australia,
74162,1970.0,Australia,
63782,1950.0,Australia,
79242,1945.0,Australia,
675742,1970.0,,
23912,1965.0,Australia,
66092,1960.0,Australia,
70832,1955.0,Australia,
6807,1950.0,Australia,
69517,1950.0,Australia,English
125287,1945.0,Australia,
51502,1975.0,Middle East and Africa,
77977,1965.0,Australia,
105342,1965.0,Australia,
13687,1970.0,Australia,
78727,1950.0,,
66737,1955.0,Australia,
27307,1950.0,Australia,
79032,1955.0,Australia,
73882,1960.0,Great Britain,
63117,1955.0,Australia,
47517,1970.0,Australia,English
149767,1975.0,Australia,
72037,1970.0,Australia,
12917,1955.0,Australia,
6077,1955.0,Australia,English
663742,1975.0,Western Europe,
10267,1935.0,Australia,
34502,1970.0,Australia,English
80457,1940.0,Australia,
734322,1965.0,,
64162,1960.0,Australia,
67647,1965.0,Australia,
81117,1950.0,Great Britain,English
77162,1970.0,Australia,
74372,1955.0,Australia,
78962,1955.0,Australia,
72467,1945.0,Australia,
80377,1945.0,Australia,
76022,1965.0,Australia,
114227,1975.0,Australia,
907,1955.0,Western Europe,
25207,1970.0,Australia,
76627,1970.0,Australia,
10447,1970.0,Australia,
55437,1940.0,Great Britain,
7047,1960.0,Australia,
64777,1940.0,Australia,
67647,1965.0,Australia,
77977,1965.0,Australia,
9417,1950.0,Australia,
86672,1975.0,Australia,
23412,1975.0,,
85862,1950.0,Western Europe,
39272,1965.0,Australia,
67647,1965.0,Australia,
1797,1960.0,North America,
73942,1950.0,Australia,
82567,1955.0,Australia,English
32822,1960.0,Australia,
102762,1970.0,Australia,
4222,1960.0,Australia,
6117,1950.0,Asia Pacific,
78962,1955.0,Australia,
86302,1970.0,Australia,
4502,1955.0,Australia,
73772,1945.0,Australia,
66957,1940.0,Australia,
13682,1965.0,Western Europe,English
9227,1970.0,Australia,
85642,1955.0,Australia,
80257,1940.0,Australia,
108162,1975.0,Australia,English
39457,1960.0,Australia,
500417,1970.0,Australia,
80167,1950.0,Australia,
33502,1965.0,Australia,
1642,1965.0,Australia,
79217,1955.0,Australia,
86672,1975.0,Australia,
265752,1970.0,Australia,
67502,1960.0,Australia,
492057,1965.0,Asia Pacific,Other
80692,1950.0,Australia,
7452,1960.0,North America,
71037,1960.0,Australia,
33167,1960.0,Australia,
1937,1970.0,Australia,
74877,1950.0,Great Britain,
79802,1950.0,Australia,
145367,1965.0,Australia,
75662,1950.0,Australia,
54922,1970.0,Australia,
130967,1975.0,Great Britain,
93007,1970.0,Australia,
145857,1965.0,Eastern Europe,Other
43882,1975.0,Australia,
720017,1960.0,,
81892,1950.0,Australia,
25217,1965.0,Great Britain,
69657,1955.0,Great Britain,English
85642,1955.0,Australia,
77182,1970.0,Australia,
4502,1955.0,Australia,
7527,1955.0,Australia,
44022,1965.0,Australia,
10577,1960.0,Australia,
74372,1955.0,Australia,
16012,1960.0,North America,
56387,1960.0,Australia,
82892,1970.0,Western Europe,
5117,1960.0,Australia,
70647,1940.0,,
15927,1960.0,Australia,
8772,1965.0,Australia,
74162,1970.0,Australia,
20122,1965.0,Great Britain,
31322,1975.0,Australia,
29512,1970.0,North America,English
78587,1950.0,,
3182,1965.0,Australia,
69712,1950.0,Great Britain,
91387,1960.0,Australia,
90542,1970.0,Australia,
69657,1955.0,Great Britain,English
6747,1955.0,Australia,English
25207,1970.0,Australia,
22297,1950.0,Australia,
6332,1945.0,Australia,
84622,1955.0,Australia,
69657,1955.0,Great Britain,English
79632,1945.0,Australia,
30582,1960.0,Australia,
16137,1950.0,Australia,
16012,1960.0,North America,
107862,1975.0,Australia,
78822,1950.0,Australia,
79142,1940.0,Australia,
1797,1960.0,North America,
14507,1960.0,Australia,
51367,1955.0,Australia,
92172,1970.0,Australia,
130967,1975.0,Great Britain,
74302,1960.0,Australia,
71037,1960.0,Australia,
67657,1965.0,Australia,English
15287,1970.0,North America,
144477,1965.0,Great Britain,English
68732,1950.0,North America,
20937,1970.0,Australia,
1642,1965.0,Australia,
14487,1945.0,Australia,
140307,1965.0,Western Europe,
22792,1955.0,Australia,
63722,1955.0,Australia,
39202,1960.0,Australia,
74722,1960.0,Australia,
3067,1950.0,,
75377,1955.0,Australia,
28502,1970.0,New Zealand,
493697,1960.0,Asia Pacific,
592,1955.0,Australia,
47517,1970.0,Australia,English
8772,1965.0,Australia,
23442,1970.0,Australia,
734322,1965.0,,
28362,1975.0,Australia,
43612,1960.0,Australia,
11507,1945.0,Australia,
615307,1950.0,Australia,
18412,1960.0,Australia,
74302,1960.0,Australia,
73422,1960.0,Great Britain,
34177,1960.0,North America,
28232,1965.0,Australia,English
67412,1960.0,Asia Pacific,English
80257,1940.0,Australia,
40947,1965.0,Australia,English
78947,1960.0,Australia,
43882,1975.0,Australia,
79192,1950.0,Australia,
23512,1945.0,Australia,
109222,1950.0,Australia,
66782,1955.0,Australia,
71402,1960.0,Australia,
178232,1945.0,Great Britain,
63452,1950.0,Great Britain,
7087,1970.0,Australia,
10592,1960.0,Australia,English
63757,1960.0,Great Britain,
15282,1965.0,Australia,English
89467,1960.0,New Zealand,
713112,1975.0,,
32052,1975.0,Australia,
34677,1955.0,North America,
79702,1950.0,Australia,
66887,1955.0,Australia,
9732,1960.0,Australia,
46682,1960.0,Australia,
140997,1980.0,Australia,
15282,1965.0,Australia,English
16137,1950.0,Australia,
107862,1975.0,Australia,
82312,1950.0,Australia,
7952,1965.0,Australia,
14782,1955.0,Great Britain,
23442,1970.0,Australia,
322527,1975.0,Australia,
3762,1960.0,Australia,
49532,1970.0,Australia,
6742,1940.0,Australia,
81727,1945.0,Australia,
1812,1955.0,Australia,
11947,1950.0,Australia,
135652,1965.0,Asia Pacific,
500177,1980.0,Australia,
54922,1970.0,Australia,
2712,1965.0,Australia,
747267,1965.0,,
45462,1945.0,Australia,
32672,1975.0,Asia Pacific,
77112,1960.0,Great Britain,
55437,1940.0,Great Britain,
8772,1965.0,Australia,
80377,1945.0,Australia,
5232,1955.0,Australia,
84622,1955.0,Australia,
63757,1960.0,Great Britain,
29562,1970.0,Australia,English
30527,1960.0,Australia,
113942,1965.0,North America,English
80047,1940.0,North America,
67037,1950.0,Eastern Europe,
6712,1950.0,Australia,
734322,1965.0,,
54922,1970.0,Australia,
36472,1955.0,Australia,
17342,1960.0,Australia,
1642,1965.0,Australia,
43882,1975.0,Australia,
39272,1965.0,Australia,
730882,1970.0,,
11427,1960.0,New Zealand,
17622,1955.0,Australia,
25217,1965.0,Great Britain,
33752,1960.0,Australia,
10477,1960.0,Australia,
1797,1960.0,North America,
70832,1955.0,Australia,
19262,1955.0,Great Britain,
18377,1960.0,Australia,
66732,1970.0,Australia,English
13352,1955.0,,
81792,1950.0,Australia,
10352,1975.0,Australia,
7362,1970.0,Western Europe,
142457,1970.0,Australia,
60517,1965.0,Australia,
67152,1955.0,New Zealand,
72177,1960.0,Australia,
2982,1950.0,Eastern Europe,
1797,1960.0,North America,
9712,1945.0,Australia,
6712,1950.0,Australia,
20907,1975.0,Australia,
67647,1965.0,Australia,
29032,1965.0,Australia,
537,1965.0,Australia,
89487,1970.0,Australia,
28607,1965.0,Great Britain,
132232,1975.0,Australia,
39632,1975.0,Great Britain,
1117,1955.0,Australia,
85862,1950.0,Western Europe,
17342,1960.0,Australia,
67647,1965.0,Australia,
105337,1950.0,Australia,
80457,1940.0,Australia,
11287,1965.0,Australia,
92172,1970.0,Australia,
585892,1975.0,,
86672,1975.0,Australia,
12917,1955.0,Australia,
31672,1965.0,Australia,
1952,1955.0,Australia,
14322,1970.0,,
69032,1965.0,Australia,English
11842,1960.0,Australia,English
69517,1950.0,Australia,English
71867,1945.0,Australia,
557,1960.0,Australia,
60697,1970.0,Australia,
71222,1955.0,,
139962,1970.0,Australia,English
68782,1960.0,Australia,
5927,1965.0,Australia,
140397,1965.0,,
495212,1965.0,Australia,
76022,1965.0,Australia,
74142,1970.0,Australia,
23437,1960.0,Australia,
547,1960.0,Australia,
46132,1975.0,Australia,
7087,1970.0,Australia,
31067,1960.0,Great Britain,
69812,1960.0,Australia,
9067,1960.0,Australia,
76237,1960.0,Great Britain,English
66487,1960.0,Australia,
69032,1965.0,Australia,English
69337,1965.0,Australia,
2982,1950.0,Eastern Europe,
34737,1970.0,North America,
65967,1955.0,Asia Pacific,
74192,1965.0,Australia,
40947,1965.0,Australia,English
14277,1940.0,Australia,
75037,1960.0,Asia Pacific,
802167,1975.0,,
296177,1955.0,Australia,
72267,1960.0,Australia,
98232,1965.0,,
79802,1950.0,Australia,
65387,1965.0,Australia,
8067,1960.0,Western Europe,Other
10477,1960.0,Australia,
51377,1980.0,Australia,
491327,1965.0,Australia,
93007,1970.0,Australia,
143992,1970.0,Australia,
802167,1975.0,,
82512,1955.0,Asia Pacific,
407,1955.0,Australia,
12957,1965.0,Great Britain,
36252,1960.0,Australia,
25272,1960.0,Great Britain,
8067,1960.0,Western Europe,Other
69977,1965.0,Australia,
91092,1965.0,Australia,English
17342,1960.0,Australia,
74692,1955.0,Great Britain,
16137,1950.0,Australia,
73942,1950.0,Australia,
12862,1955.0,Australia,
19517,1965.0,Australia,
495212,1965.0,Australia,
76627,1970.0,Australia,
25272,1960.0,Great Britain,
80197,1950.0,Australia,English
81702,1955.0,New Zealand,
115407,1970.0,Asia Pacific,
126162,1970.0,Asia Pacific,
60697,1970.0,Australia,
79632,1945.0,Australia,
82502,1960.0,Australia,
68472,1955.0,Australia,
20122,1965.0,Great Britain,
63782,1950.0,Australia,
78782,1955.0,Australia,
20122,1965.0,Great Britain,
85862,1950.0,Western Europe,
20937,1970.0,Australia,
31672,1965.0,Australia,
79462,1950.0,Australia,
69657,1955.0,Great Britain,English
8317,1975.0,,
9042,1960.0,Australia,
80217,1940.0,Australia,
34737,1970.0,North America,
14957,1975.0,Australia,English
1642,1965.0,Australia,
17342,1960.0,Australia,
74692,1955.0,Great Britain,
75407,1945.0,Asia Pacific,
72447,1950.0,Australia,
28232,1965.0,Australia,English
114552,1955.0,North America,English
20937,1970.0,Australia,
34737,1970.0,North America,
1797,1960.0,North America,
147502,1970.0,Great Britain,English
17342,1960.0,Australia,
20007,1955.0,Australia,
39562,1945.0,Great Britain,
10592,1960.0,Australia,English
1797,1960.0,North America,
493302,1975.0,Australia,
26367,1975.0,Australia,
81117,1950.0,Great Britain,English
6012,1955.0,Australia,English
89472,1970.0,Australia,
917,1960.0,Australia,
1797,1960.0,North America,
734322,1965.0,,
12917,1955.0,Australia,
1937,1970.0,Australia,
64807,1960.0,Australia,
36527,1955.0,Australia,
1797,1960.0,North America,
71727,1955.0,Great Britain,English
64867,1945.0,Australia,
9067,1960.0,Australia,
36252,1960.0,Australia,
108162,1975.0,Australia,English
82072,1950.0,Australia,
7452,1960.0,North America,
67647,1965.0,Australia,
35672,1975.0,Australia,
29562,1970.0,Australia,English
15532,1960.0,,
74877,1950.0,Great Britain,
17907,1955.0,Australia,
103677,1970.0,Asia Pacific,Other
665642,1960.0,Western Europe,
69142,1950.0,Western Europe,Other
77907,1965.0,Australia,
25662,1975.0,Australia,
14267,1960.0,Asia Pacific,
20937,1970.0,Australia,
74822,1950.0,Australia,
1797,1960.0,North America,
76022,1965.0,Australia,
93007,1970.0,Australia,
75972,1960.0,Australia,
86302,1970.0,Australia,
147827,1950.0,North America,
73917,1955.0,Australia,
32822,1960.0,Australia,
73402,1965.0,Great Britain,
50952,1970.0,Australia,
4222,1960.0,Australia,
74492,1950.0,Australia,
23042,1965.0,South Africa,
4192,1965.0,,
36527,1955.0,Australia,
84627,1960.0,Australia,
79427,1960.0,Australia,
78562,1955.0,Australia,
1797,1960.0,North America,
149767,1975.0,Australia,
27527,1950.0,Australia,
500382,1970.0,,
13817,1965.0,Australia,
65842,1950.0,Australia,
147387,1965.0,Eastern Europe,
84622,1955.0,Australia,
5042,1960.0,Australia,
14957,1975.0,Australia,English
144477,1965.0,Great Britain,English
14487,1945.0,Australia,
17342,1960.0,Australia,
93007,1970.0,Australia,
74372,1955.0,Australia,
80437,1955.0,Australia,English
67857,1955.0,Australia,
85642,1955.0,Australia,
76352,1965.0,Australia,
63222,1950.0,Australia,
85907,1950.0,,
734322,1965.0,,
67282,1965.0,Australia,
80322,1940.0,,
683547,1945.0,,
82602,1960.0,Australia,
64777,1940.0,Australia,
4167,1955.0,Australia,English
16137,1950.0,Australia,
63757,1960.0,Great Britain,
21872,1975.0,Australia,
5107,1960.0,Asia Pacific,
74692,1955.0,Great Britain,
79427,1960.0,Australia,
35602,1965.0,Australia,
96717,1955.0,Australia,
19517,1965.0,Australia,
80197,1950.0,Australia,English
70712,1955.0,Australia,
79122,1950.0,Australia,
68782,1960.0,Australia,
32822,1960.0,Australia,
5222,1940.0,Australia,
68567,1970.0,Great Britain,
12957,1965.0,Great Britain,
9067,1960.0,Australia,
78782,1955.0,Australia,
4502,1955.0,Australia,
80212,1945.0,Australia,
8317,1975.0,,
20472,1970.0,Australia,
25947,1960.0,Australia,
8462,1950.0,Australia,
1797,1960.0,North America,
1642,1965.0,Australia,
30527,1960.0,Australia,
67037,1950.0,Eastern Europe,
44022,1965.0,Australia,
132222,1965.0,Western Europe,Other
67647,1965.0,Australia,
23912,1965.0,Australia,
77887,1965.0,Australia,
728002,1975.0,,
64347,1945.0,Australia,
19627,1950.0,Great Britain,
357,1960.0,Australia,
86302,1970.0,Australia,
7587,1955.0,Australia,
20007,1955.0,Australia,
71512,1945.0,,
36857,1965.0,Australia,
22972,1965.0,Australia,
491582,1975.0,Asia Pacific,
63962,1950.0,Australia,
487992,1950.0,Asia Pacific,
66092,1960.0,Australia,
21132,1960.0,Australia,
36252,1960.0,Australia,
649042,1975.0,Australia,
12957,1965.0,Great Britain,
50952,1970.0,Australia,
41912,1960.0,Eastern Europe,
641022,1975.0,Australia,
75662,1950.0,Australia,
84622,1955.0,Australia,
9712,1945.0,Australia,
72957,1960.0,New Zealand,
588877,1970.0,,
33167,1960.0,Australia,
28622,1960.0,Australia,
46132,1975.0,Australia,
79232,1940.0,Australia,
110472,1965.0,Australia,English
17342,1960.0,Australia,
22002,1975.0,Australia,
28607,1965.0,Great Britain,
27192,1970.0,Australia,
405312,1965.0,Australia,
12957,1965.0,Great Britain,
11287,1965.0,Australia,
141012,1970.0,Asia Pacific,
81727,1945.0,Australia,
36527,1955.0,Australia,
64352,1960.0,Australia,
1797,1960.0,North America,
82072,1950.0,Australia,
143992,1970.0,Australia,
11597,1975.0,Australia,
72422,1960.0,Australia,
78927,1940.0,Australia,
71037,1960.0,Australia,
82502,1960.0,Australia,
79857,1950.0,Australia,
44022,1965.0,Australia,
33812,1965.0,Great Britain,
63217,1945.0,Eastern Europe,
13687,1970.0,Australia,
4877,1960.0,,
10447,1970.0,Australia,
2832,1960.0,,
76237,1960.0,Great Britain,English
72622,1935.0,Australia,
16137,1950.0,Australia,
39647,1970.0,Australia,
85642,1955.0,Australia,
1757,1950.0,Asia Pacific,
30782,1960.0,Australia,
67647,1965.0,Australia,
75377,1955.0,Australia,
78752,1955.0,Western Europe,
78962,1955.0,Australia,
79122,1950.0,Australia,
1642,1965.0,Australia,
8772,1965.0,Australia,
27757,1960.0,Australia,
67037,1950.0,Eastern Europe,
143992,1970.0,Australia,
80232,1960.0,Australia,
493767,1965.0,Australia,
736497,1975.0,,
8462,1950.0,Australia,
7527,1955.0,Australia,
1797,1960.0,North America,
15512,1960.0,Australia,
82502,1960.0,Australia,
67392,1955.0,North America,
361647,1955.0,Australia,
69812,1960.0,Australia,
27142,1965.0,Australia,
16987,1965.0,Australia,
68317,1960.0,Australia,
12887,1960.0,Australia,
26367,1975.0,Australia,
67742,1965.0,,
2107,1960.0,Australia,English
9067,1960.0,Australia,
75972,1960.0,Australia,
23997,1965.0,Australia,
491312,1960.0,Australia,
79032,1955.0,Australia,
5967,1955.0,Australia,
74047,1960.0,Great Britain,
65387,1965.0,Australia,
500177,1980.0,Australia,
17367,1960.0,Asia Pacific,
76792,1970.0,Australia,
1797,1960.0,North America,
76237,1960.0,Great Britain,English
79122,1950.0,Australia,
107242,1970.0,Great Britain,
4702,1960.0,Australia,
79632,1945.0,Australia,
1797,1960.0,North America,
2712,1965.0,Australia,
73917,1955.0,Australia,
73882,1960.0,Great Britain,
80852,1955.0,Australia,
67647,1965.0,Australia,
74372,1955.0,Australia,
118747,1980.0,Australia,
724202,1980.0,,
1797,1960.0,North America,
66977,1965.0,Australia,
68587,1955.0,Australia,
592577,1975.0,,
246837,1975.0,North America,
32422,1970.0,Australia,
146262,1975.0,Australia,
144477,1965.0,Great Britain,English
582352,1970.0,,
500257,1970.0,,
573352,1965.0,,Other
99052,1970.0,Australia,
8002,1975.0,Australia,
585877,1975.0,Western Europe,
378492,1950.0,Australia,
24267,1970.0,Australia,
119322,1970.0,Asia Pacific,
25662,1975.0,Australia,
12917,1955.0,Australia,
449272,1960.0,Australia,
84627,1960.0,Australia,
492632,1970.0,North America,
57272,1975.0,North America,
77342,1965.0,Australia,
55337,1975.0,Australia,
643862,1980.0,Australia,
608447,1965.0,,
130967,1975.0,Great Britain,
6117,1950.0,Asia Pacific,
7992,1970.0,Australia,
500182,1970.0,,
488857,1965.0,Great Britain,
86672,1975.0,Australia,
92047,1950.0,Australia,
89777,1970.0,Australia,
28797,1970.0,Australia,
10737,1970.0,Australia,
54487,1965.0,Australia,
367942,1980.0,Australia,
5812,1965.0,North America,English
449272,1960.0,Australia,
2697,1955.0,Eastern Europe,
130642,1965.0,Australia,
500157,1970.0,Australia,English
636757,1975.0,Australia,
65712,1950.0,Western Europe,
613297,1975.0,Australia,
333727,1965.0,Australia,
12917,1955.0,Australia,
44852,1965.0,Australia,
17947,1975.0,Australia,
493297,1965.0,Australia,
19037,1975.0,Australia,
36217,1980.0,Asia Pacific,
8327,1955.0,Asia Pacific,Other
500027,1975.0,,English
40697,1965.0,Great Britain,
86212,1975.0,Australia,
597827,1965.0,Australia,
500457,1950.0,,
358382,1975.0,Australia,
25207,1970.0,Australia,
649042,1975.0,Australia,
147857,1975.0,Australia,
85707,1970.0,Australia,
129752,1965.0,Australia,
75082,1965.0,Australia,
23417,1975.0,Australia,
398112,1975.0,Great Britain,
10402,1970.0,Australia,
